benchmark,n_agents,steps,topology,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode,n_edges,k_colors,final_conflicts,final_conflict_frac
consensus,20,60.0,ring_plus,-2.7282340889208936e-08,2.7282340889208936e-08,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7358942085436929,0.9925317583695167,1.0,1.863792706410515e-07,-0.18178672071011878,9.0,1.0,1.399646125476325,1.3996461254763248,consensus_mean,consensus_mean,msg_drop,0.0,0,0,,,,
consensus,20,60.0,ring_plus,-2.540133107053268e-07,2.540133107053268e-07,0.0,0.0,0.0,0.0,5400.0,5400.0,1.0,0.0,172800.0,32.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7510183855869336,0.998411949153818,1.0,1.799818348342342e-06,-0.28470321147063804,12.0,1.0,1.320493917398932,1.320493917398932,consensus_mean,consensus_mean,msg_drop,0.0,1,0,,,,
consensus,20,60.0,ring_plus,-8.168897270614256e-10,8.168897270614256e-10,0.0,0.0,0.0,0.0,6120.0,6120.0,1.0,0.0,195840.0,32.0,0.0,6120.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6822838278176631,0.9973996316268622,1.0,1.0277110011726397e-08,-0.30468541946906474,9.0,1.0,1.55469612182113,1.5546961218211295,consensus_mean,consensus_mean,msg_drop,0.0,2,0,,,,
consensus,20,60.0,ring_plus,-1.44849267107655e-08,1.44849267107655e-08,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7101630463123513,0.9985650726029233,1.0,1.5671518029164446e-07,-0.43744331443948486,11.0,1.0,1.2627284000071304,1.2627284000071306,consensus_mean,consensus_mean,msg_drop,0.0,3,0,,,,
consensus,20,60.0,ring_plus,-9.276754692133524e-08,9.276754692133524e-08,0.0,0.0,0.0,0.0,5640.0,5640.0,1.0,0.0,180480.0,32.0,0.0,5640.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7473228203439312,0.9943839413436558,1.0,5.841762267377446e-07,-0.2570986057633667,9.0,1.0,1.3711704029417888,1.3711704029417888,consensus_mean,consensus_mean,msg_drop,0.0,4,0,,,,
consensus,20,60.0,ring_plus,-2.3477787254070522e-08,2.3477787254070522e-08,0.0,0.0,0.0,0.0,6360.0,6360.0,1.0,0.0,203520.0,32.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7191687973344563,0.9968099910770064,1.0,1.8721703839698926e-07,-0.25459691385321637,11.0,1.0,1.6160985120576443,1.616098512057644,consensus_mean,consensus_mean,msg_drop,0.0,5,0,,,,
consensus,20,60.0,ring_plus,-5.570206765237664e-07,5.570206765237664e-07,0.0,0.0,0.0,0.0,4680.0,4680.0,1.0,0.0,149760.0,32.0,0.0,4680.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7682219554941994,0.9874776436152543,1.0,2.6186758839223734e-06,-0.35008555319065043,9.0,1.0,0.9450014459069909,0.9450014459069908,consensus_mean,consensus_mean,msg_drop,0.0,6,0,,,,
consensus,20,60.0,ring_plus,-1.7240977534037544e-11,1.7240977534037544e-11,0.0,0.0,0.0,0.0,6480.0,6480.0,1.0,0.0,207360.0,32.0,0.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6407059489560791,0.9952688870731727,1.0,2.826947437737647e-10,-0.32121842418855234,7.0,1.0,2.218617553571293,2.218617553571293,consensus_mean,consensus_mean,msg_drop,0.0,7,0,,,,
consensus,20,60.0,ring_plus,-4.581667026258216e-05,4.581667026258216e-05,0.0,0.0,0.0,0.0,4200.0,4200.0,1.0,0.0,134400.0,32.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8317451493013875,0.9913815833731552,1.0,0.0001402144553736957,-0.2253599342497902,15.0,1.0,0.7964836768628718,0.7964836768628717,consensus_mean,consensus_mean,msg_drop,0.0,8,0,,,,
consensus,20,60.0,ring_plus,-1.842855635986362e-05,1.842855635986362e-05,0.0,0.0,0.0,0.0,5280.0,5280.0,1.0,0.0,168960.0,32.0,0.0,5280.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8215139615751635,0.9869105412873541,1.0,5.994455747389067e-05,-0.2459001450238141,12.0,1.0,0.9413291035084279,0.9413291035084281,consensus_mean,consensus_mean,msg_drop,0.0,9,0,,,,
consensus,20,60.0,ring_plus,-4.513610988183262e-08,4.513610988183262e-08,0.0,0.10277777777777777,0.0,0.0,5040.0,4522.0,0.8972222222222223,0.10277777777777775,144704.0,32.0,0.0,4522.0,0.0,0.0,518.0,0.0,0.0,0.0,mean,0.7416764636717462,0.993286698053061,1.0,2.8992996029217424e-07,-0.1817867204125559,9.0,1.0,1.399646125476325,1.3458235410014037,consensus_mean,consensus_mean,msg_drop,0.1,0,0,,,,
consensus,20,60.0,ring_plus,-2.935243875203763e-07,2.935243875203763e-07,0.0,0.1037037037037037,0.0,0.0,5400.0,4840.0,0.8962962962962963,0.10370370370370374,154880.0,32.0,0.0,4840.0,0.0,0.0,560.0,0.0,0.0,0.0,mean,0.7527233697114167,0.9983671539483283,1.0,1.961491200981427e-06,-0.28470321081212013,12.0,1.0,1.320493917398932,1.2572950674741608,consensus_mean,consensus_mean,msg_drop,0.1,1,0,,,,
consensus,20,60.0,ring_plus,-1.38266335490184e-09,1.38266335490184e-09,0.0,0.10326797385620914,0.0,0.0,6120.0,5488.0,0.8967320261437909,0.10326797385620912,175616.0,32.0,0.0,5488.0,0.0,0.0,632.0,0.0,0.0,0.0,mean,0.6895625995479159,0.9969070581752959,1.0,1.6324823474642686e-08,-0.30468541945963523,9.0,1.0,1.55469612182113,1.5299830364930147,consensus_mean,consensus_mean,msg_drop,0.1,2,0,,,,
consensus,20,60.0,ring_plus,-1.1821040488624546e-08,1.1821040488624546e-08,0.0,0.09345238095238095,0.0,0.0,5040.0,4569.0,0.906547619047619,0.09345238095238095,146208.0,32.0,0.0,4569.0,0.0,0.0,471.0,0.0,0.0,0.0,mean,0.7087587618421656,0.9982193098684851,1.0,1.3401215085068118e-07,-0.4374433144838829,11.0,1.0,1.2627284000071304,1.2353733719202542,consensus_mean,consensus_mean,msg_drop,0.1,3,0,,,,
consensus,20,60.0,ring_plus,-8.314095607859033e-08,8.314095607859033e-08,0.0,0.1026595744680851,0.0,0.0,5640.0,5061.0,0.8973404255319148,0.10265957446808516,161952.0,32.0,0.0,5061.0,0.0,0.0,579.0,0.0,0.0,0.0,mean,0.7454101973637842,0.9940149137650327,1.0,5.160774760867209e-07,-0.25709860592380984,9.0,1.0,1.3711704029417888,1.3207138697044611,consensus_mean,consensus_mean,msg_drop,0.1,4,0,,,,
consensus,20,60.0,ring_plus,-2.5031823764426193e-08,2.5031823764426193e-08,0.0,0.09827044025157233,0.0,0.0,6360.0,5735.0,0.9017295597484277,0.09827044025157228,183520.0,32.0,0.0,5735.0,0.0,0.0,625.0,0.0,0.0,0.0,mean,0.7214077426850946,0.9977236440820078,1.0,2.2594673674820427e-07,-0.2545969138273158,11.0,1.0,1.6160985120576443,1.583621832579197,consensus_mean,consensus_mean,msg_drop,0.1,5,0,,,,
consensus,20,60.0,ring_plus,-2.9391012621234507e-07,2.9391012621234507e-07,0.0,0.09658119658119659,0.0,0.0,4680.0,4228.0,0.9034188034188034,0.09658119658119657,135296.0,32.0,0.0,4228.0,0.0,0.0,452.0,0.0,0.0,0.0,mean,0.7597935471773395,0.9860865398704144,1.0,1.4633441230210559e-06,-0.3500855575758261,9.0,1.0,0.9450014459069909,0.8957994866615863,consensus_mean,consensus_mean,msg_drop,0.1,6,0,,,,
consensus,20,60.0,ring_plus,-1.8339908811046975e-11,1.8339908811046975e-11,0.0,0.10030864197530864,0.0,0.0,6480.0,5830.0,0.8996913580246914,0.10030864197530864,186560.0,32.0,0.0,5830.0,0.0,0.0,650.0,0.0,0.0,0.0,mean,0.6395741585834958,0.9947869929707855,1.0,2.6415044155466746e-10,-0.32121842418853397,7.0,1.0,2.218617553571293,2.1395397467772024,consensus_mean,consensus_mean,msg_drop,0.1,7,0,,,,
consensus,20,60.0,ring_plus,-5.098333354116395e-05,5.098333354116395e-05,0.0,0.10809523809523809,0.0,0.0,4200.0,3746.0,0.8919047619047619,0.10809523809523813,119872.0,32.0,0.0,3746.0,0.0,0.0,454.0,0.0,0.0,0.0,mean,0.8344459246066827,0.9890163551291355,1.0,0.0001572054404604005,-0.22535984813873552,14.0,1.0,0.7964836768628718,0.7332449500908755,consensus_mean,consensus_mean,msg_drop,0.1,8,0,,,,
consensus,20,60.0,ring_plus,-1.751586276185804e-05,1.751586276185804e-05,0.0,0.10340909090909091,0.0,0.0,5280.0,4734.0,0.8965909090909091,0.1034090909090909,151488.0,32.0,0.0,4734.0,0.0,0.0,546.0,0.0,0.0,0.0,mean,0.8211384491059877,0.9851450157512172,1.0,5.399467739632542e-05,-0.24590016023537412,11.0,1.0,0.9413291035084279,0.9246306127261071,consensus_mean,consensus_mean,msg_drop,0.1,9,0,,,,
consensus,20,60.0,ring_plus,-5.217228397962394e-08,5.217228397962394e-08,0.0,0.29543650793650794,0.0,0.0,5040.0,3551.0,0.7045634920634921,0.2954365079365079,113632.0,32.0,0.0,3551.0,0.0,0.0,1489.0,0.0,0.0,0.0,mean,0.7409225007932936,0.9933811799926648,1.0,3.4038495183589134e-07,-0.18178672029528634,9.0,1.0,1.399646125476325,0.9593085927552825,consensus_mean,consensus_mean,msg_drop,0.3,0,0,,,,
consensus,20,60.0,ring_plus,-3.6397876352134335e-07,3.6397876352134335e-07,0.0,0.3042592592592593,0.0,0.0,5400.0,3757.0,0.6957407407407408,0.30425925925925923,120224.0,32.0,0.0,3757.0,0.0,0.0,1643.0,0.0,0.0,0.0,mean,0.7563651627768142,0.9961313915562205,1.0,2.216437094015797e-06,-0.28470320963788065,12.0,1.0,1.320493917398932,0.8757031879896017,consensus_mean,consensus_mean,msg_drop,0.3,1,0,,,,
consensus,20,60.0,ring_plus,-1.5263814563990468e-09,1.5263814563990468e-09,0.0,0.30637254901960786,0.0,0.0,6120.0,4245.0,0.6936274509803921,0.30637254901960786,135840.0,32.0,0.0,4245.0,0.0,0.0,1875.0,0.0,0.0,0.0,mean,0.69043968558887,0.9976133134436996,1.0,1.888094177850842e-08,-0.30468541945723987,9.0,1.0,1.55469612182113,1.2029979528235235,consensus_mean,consensus_mean,msg_drop,0.3,2,0,,,,
consensus,20,60.0,ring_plus,-5.990223661391156e-08,5.990223661391156e-08,0.0,0.2871031746031746,0.0,0.0,5040.0,3593.0,0.7128968253968254,0.2871031746031746,114976.0,32.0,0.0,3593.0,0.0,0.0,1447.0,0.0,0.0,0.0,mean,0.7280429522744922,0.9982935055827792,1.0,4.879644527023647e-07,-0.4374433136825298,11.0,1.0,1.2627284000071304,0.9577050629098172,consensus_mean,consensus_mean,msg_drop,0.3,3,0,,,,
consensus,20,60.0,ring_plus,-3.401068839014355e-08,3.401068839014355e-08,0.0,0.299822695035461,0.0,0.0,5640.0,3949.0,0.700177304964539,0.299822695035461,126368.0,32.0,0.0,3949.0,0.0,0.0,1691.0,0.0,0.0,0.0,mean,0.7366642808162929,0.9941260914265615,1.0,2.368840739846945e-07,-0.2570986067426476,8.0,1.0,1.3711704029417888,1.0148743174324646,consensus_mean,consensus_mean,msg_drop,0.3,4,0,,,,
consensus,20,60.0,ring_plus,-5.466031034651938e-09,5.466031034651938e-09,0.0,0.3007861635220126,0.0,0.0,6360.0,4447.0,0.6992138364779874,0.3007861635220126,142304.0,32.0,0.0,4447.0,0.0,0.0,1913.0,0.0,0.0,0.0,mean,0.6974629029828682,0.9971574318432822,1.0,5.1424912494118944e-08,-0.2545969141534123,12.0,1.0,1.6160985120576443,1.2695270368522074,consensus_mean,consensus_mean,msg_drop,0.3,5,0,,,,
consensus,20,60.0,ring_plus,-9.106544605713481e-07,9.106544605713481e-07,0.0,0.29423076923076924,0.0,0.0,4680.0,3303.0,0.7057692307692308,0.2942307692307692,105696.0,32.0,0.0,3303.0,0.0,0.0,1377.0,0.0,0.0,0.0,mean,0.77266176982511,0.989698210104975,1.0,4.3657450128157255e-06,-0.3500855472967539,10.0,1.0,0.9450014459069909,0.6385712146617054,consensus_mean,consensus_mean,msg_drop,0.3,6,0,,,,
consensus,20,60.0,ring_plus,-8.08592881048036e-11,8.08592881048036e-11,0.0,0.2983024691358025,0.0,0.0,6480.0,4547.0,0.7016975308641975,0.2983024691358025,145504.0,32.0,0.0,4547.0,0.0,0.0,1933.0,0.0,0.0,0.0,mean,0.6571890727497925,0.9951416518064683,1.0,1.1818397106940427e-09,-0.3212184241874919,8.0,1.0,2.218617553571293,1.6531050140173542,consensus_mean,consensus_mean,msg_drop,0.3,7,0,,,,
consensus,20,60.0,ring_plus,-5.735078878360695e-05,5.735078878360695e-05,0.0,0.31642857142857145,0.0,0.0,4200.0,2871.0,0.6835714285714286,0.3164285714285714,91872.0,32.0,0.0,2871.0,0.0,0.0,1329.0,0.0,0.0,0.0,mean,0.8321858869982275,0.9873997304942903,1.0,0.00017364900442042613,-0.22535974201448153,15.0,1.0,0.7964836768628718,0.4991524113307339,consensus_mean,consensus_mean,msg_drop,0.3,8,0,,,,
