benchmark,n_agents,steps,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,10,60,-0.0002479121730937152,0.0002479121730937152,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8608910433447053,0.9804038855039481,1.0,0.0005932588705601653,-0.22755517724795352,15.0,1.0,0.3819660112501043,0.3819660112501042
consensus,10,60,-0.0009080749986150341,0.0009080749986150341,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8655354880426896,0.993258774941766,1.0,0.0021730419318830075,-0.27779086148333065,23.0,1.0,0.3819660112501043,0.3819660112501042
consensus,10,60,-0.00018316022708250468,0.00018316022708250468,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8613656511779597,0.9834160388775781,1.0,0.00043830614731993063,-0.13020873770566133,17.0,1.0,0.3819660112501043,0.3819660112501042
consensus,10,60,-0.00019416128934670115,0.00019416128934670115,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8652156125516957,0.9916207043825911,1.0,0.00046463191249982843,-0.07496809329172334,21.0,1.0,0.3819660112501043,0.3819660112501042
consensus,10,60,-1.3551685805960623e-05,1.3551685805960623e-05,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.852099636824902,0.9335852662387851,1.0,3.242945962462672e-05,-0.11919044624390912,5.0,1.0,0.3819660112501043,0.3819660112501042
consensus,10,60,-0.0003774030675883802,0.0003774030675883802,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869018982823692,0.9986938617896246,1.0,0.0009031332124131834,-0.05119744896919506,29.0,1.0,0.3819660112501043,0.3819660112501042
consensus,10,60,-7.133120086676444e-05,7.133120086676444e-05,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8623709472980738,0.9840274740964732,1.0,0.00017069701384277307,-0.05141524832042809,17.0,1.0,0.3819660112501043,0.3819660112501042
consensus,10,60,-0.00011477766595240661,0.00011477766595240661,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638170623743915,0.9874559659838329,1.0,0.00027466528799237165,-0.06693277310295274,18.0,1.0,0.3819660112501043,0.3819660112501042
consensus,10,60,-0.0007531357681952115,0.0007531357681952115,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8688415441950524,0.9986280311750986,1.0,0.001802269202798575,-0.10380540373619333,29.0,1.0,0.3819660112501043,0.3819660112501042
consensus,10,60,-0.0003054254996276531,0.0003054254996276531,0.0,0.0,0.0,0.0,1200.0,1200.0,1.0,0.0,38400.0,32.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8641608795489686,0.9871455568596895,1.0,0.0007308894294846048,-0.17560651619925657,18.0,1.0,0.3819660112501043,0.3819660112501042
