benchmark,n_agents,steps,return,final_disagreement,consensus_error,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,10,60,-2.2899270298599215e-09,2.2899270298599215e-09,0.0009251933989878391,0.0,0.0,0.0,0.0,1800.0,1800.0,1.0,0.0,57600.0,32.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7289270766231786,0.9895105197779709,1.0,1.9325511148243567e-08,-0.12103822929909812,5.0,1.0,1.010288261559264,1.0102882615592643
consensus,10,60,-1.4315131897689846e-10,1.4315131897689846e-10,0.0005681035337937117,0.0,0.0,0.0,0.0,2040.0,2040.0,1.0,0.0,65280.0,32.0,0.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6810538150039058,0.9879702453317099,1.0,1.600168152984831e-09,-0.17323229490294184,6.0,1.0,1.1943146514425098,1.19431465144251
consensus,10,60,-1.6130614797269135e-07,1.6130614797269135e-07,0.005716551769361384,0.0,0.0,0.0,0.0,1560.0,1560.0,1.0,0.0,49920.0,32.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744118048143465,0.9950947402260931,1.0,6.665470683626974e-07,-0.14714455528796702,13.0,1.0,0.5454925761832207,0.5454925761832207
consensus,10,60,-1.0054534002227794e-10,1.0054534002227794e-10,0.008450441175812114,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6656922314326061,0.9984724786405177,1.0,1.895817012187034e-09,-0.16160165748069444,9.0,1.0,1.8044311159988962,1.8044311159988962
consensus,10,60,-0.0008590672622799827,0.0008590672622799827,0.00015115255479645004,0.0,0.0,0.0,0.0,1800.0,1800.0,1.0,0.0,57600.0,32.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8723789281040234,0.9946606682961465,1.0,0.001970738097188172,-0.1496774037110339,25.0,1.0,0.5130598855926265,0.5130598855926264
consensus,10,60,-4.755161665356844e-08,4.755161665356844e-08,0.0001282972806227574,0.0,0.0,0.0,0.0,1560.0,1560.0,1.0,0.0,49920.0,32.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7738216459729776,0.9117251565728572,1.0,1.3164650723572067e-07,-0.15510779593509344,4.0,1.0,0.46865162149224304,0.46865162149224293
consensus,10,60,-2.8071713752477183e-07,2.8071713752477183e-07,0.012681837544457165,0.0,0.0,0.0,0.0,1680.0,1680.0,1.0,0.0,53760.0,32.0,0.0,1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7670879647346788,0.996938934786409,1.0,1.6654438439062925e-06,-0.15692332443186155,11.0,1.0,0.7777102354316305,0.7777102354316303
consensus,10,60,-2.4718341615399504e-11,2.4718341615399504e-11,0.0014202207842689218,0.0,0.0,0.0,0.0,2640.0,2640.0,1.0,0.0,84480.0,32.0,0.0,2640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6697672872953622,0.9964670495722788,1.0,4.289684834551712e-10,-0.06451797519426639,7.0,1.0,1.8569568412967903,1.8569568412967905
consensus,10,60,-4.4167490853329824e-05,4.4167490853329824e-05,0.01454057505726605,0.0,0.0,0.0,0.0,1800.0,1800.0,1.0,0.0,57600.0,32.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8315945861649605,0.9955642330422856,1.0,0.000142852676727629,-0.1825964709452568,17.0,1.0,0.6385312338141741,0.6385312338141743
consensus,10,60,-3.193045104566187e-08,3.193045104566187e-08,0.0061463985992578464,0.0,0.0,0.0,0.0,1800.0,1800.0,1.0,0.0,57600.0,32.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249957629894401,0.9985621034603358,1.0,2.631204739988314e-07,-0.21329264419707822,12.0,1.0,1.1206147584281831,1.1206147584281834
consensus,20,60,-2.7282340889208936e-08,2.7282340889208936e-08,0.0016408928661126084,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7358942085436929,0.9925317583695167,1.0,1.863792706410515e-07,-0.18178672071011878,9.0,1.0,1.399646125476325,1.3996461254763248
