benchmark,n_agents,steps,topology,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode
consensus,20,60,ring_plus,-0.005482431650517084,0.005482431650517084,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.9153796126179674,0.8893141208430875,1.0,0.009240556291100158,-0.18169534730398246,16.0,1.0,1.399646125476325,1.3996461254763248,consensus_median,consensus_median,msg_drop,0.0,0,0
consensus,20,60,ring_plus,-0.0022524075034309134,0.0022524075034309134,0.0,0.0,0.0,0.0,5400.0,5400.0,1.0,0.0,172800.0,32.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8868894533962743,0.948095047355784,1.0,0.004040617335849671,-0.28466567557913613,17.0,1.0,1.320493917398932,1.320493917398932,consensus_median,consensus_median,msg_drop,0.0,1,0
consensus,20,60,ring_plus,-1.0757817627825737e-05,1.0757817627825737e-05,0.0,0.0,0.0,0.0,6120.0,6120.0,1.0,0.0,195840.0,32.0,0.0,6120.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8029072662488145,0.9951107096363998,1.0,4.5457540449862186e-05,-0.3046852401857191,14.0,1.0,1.55469612182113,1.5546961218211295,consensus_median,consensus_median,msg_drop,0.0,2,0
consensus,20,60,ring_plus,-0.00018438166122980556,0.00018438166122980556,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8371772439263904,0.9929626121047088,1.0,0.000744942995449872,-0.4374402416532132,21.0,1.0,1.2627284000071304,1.2627284000071306,consensus_median,consensus_median,msg_drop,0.0,3,0
consensus,20,60,ring_plus,-1.7632338623002975e-06,1.7632338623002975e-06,0.0,0.0,0.0,0.0,5640.0,5640.0,1.0,0.0,180480.0,32.0,0.0,5640.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.7871303711427364,0.9892653375314289,1.0,7.5488257383975825e-06,-0.25709857792226143,11.0,1.0,1.3711704029417888,1.3711704029417888,consensus_median,consensus_median,msg_drop,0.0,4,0
consensus,20,60,ring_plus,-0.13883186854417218,0.13883186854417218,0.0,0.0,0.0,0.0,6360.0,6360.0,1.0,0.0,203520.0,32.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.9600207839121924,0.43787725467610616,1.0,0.13883230737275712,-0.25228304976877663,18.0,1.0,1.6160985120576443,1.616098512057644,consensus_median,consensus_median,msg_drop,0.0,5,0
consensus,20,60,ring_plus,-0.00025687201397392407,0.00025687201397392407,0.0,0.0,0.0,0.0,4680.0,4680.0,1.0,0.0,149760.0,32.0,0.0,4680.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8475205063686533,0.981351379392753,1.0,0.0005194339102027597,-0.3500812812740955,16.0,1.0,0.9450014459069909,0.9450014459069908,consensus_median,consensus_median,msg_drop,0.0,6,0
consensus,20,60,ring_plus,-6.615934702086204e-06,6.615934702086204e-06,0.0,0.0,0.0,0.0,6480.0,6480.0,1.0,0.0,207360.0,32.0,0.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.800548284567372,0.9881547098203891,1.0,2.697664426169475e-05,-0.3212183139232611,11.0,1.0,2.218617553571293,2.218617553571293,consensus_median,consensus_median,msg_drop,0.0,7,0
consensus,20,60,ring_plus,-0.061134390726600735,0.061134390726600735,0.0,0.0,0.0,0.0,4200.0,4200.0,1.0,0.0,134400.0,32.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.9476347521361681,0.6576378148377107,1.0,0.06170680693486514,-0.2243417913488512,19.0,1.0,0.7964836768628718,0.7964836768628717,consensus_median,consensus_median,msg_drop,0.0,8,0
consensus,20,60,ring_plus,-0.0005079551485993235,0.0005079551485993235,0.0,0.0,0.0,0.0,5280.0,5280.0,1.0,0.0,168960.0,32.0,0.0,5280.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8724697640882209,0.9714170647982108,1.0,0.0015473166584628391,-0.2458919862472769,23.0,1.0,0.9413291035084279,0.9413291035084281,consensus_median,consensus_median,msg_drop,0.0,9,0
