benchmark,n_agents,steps,topology,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode
consensus,20,60,ring_plus,-6.28818414554885e-06,6.28818414554885e-06,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.8039716808919491,0.9834495329401921,1.0,2.0105175505070337e-05,-0.18178661636175533,12.0,1.0,1.399646125476325,1.3996461254763248,consensus_trimmed,consensus_trimmed,msg_drop,0.0,0,0
consensus,20,60,ring_plus,-1.8944704479782337e-05,1.8944704479782337e-05,0.0,0.0,0.0,0.0,5400.0,5400.0,1.0,0.0,172800.0,32.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.8077466241390061,0.992096683945328,1.0,6.254360476096896e-05,-0.2847028999591186,15.0,1.0,1.320493917398932,1.320493917398932,consensus_trimmed,consensus_trimmed,msg_drop,0.0,1,0
consensus,20,60,ring_plus,-3.4833629353866156e-08,3.4833629353866156e-08,0.0,0.0,0.0,0.0,6120.0,6120.0,1.0,0.0,195840.0,32.0,0.0,6120.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.7282034530484361,0.9989928671538942,1.0,3.513799835983495e-07,-0.30468541890211903,11.0,1.0,1.55469612182113,1.5546961218211295,consensus_trimmed,consensus_trimmed,msg_drop,0.0,2,0
consensus,20,60,ring_plus,-1.833065035825461e-06,1.833065035825461e-06,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,161280.0,32.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.7658056209537516,0.9989998098686504,1.0,1.0884906608192929e-05,-0.4374432841298164,15.0,1.0,1.2627284000071304,1.2627284000071306,consensus_trimmed,consensus_trimmed,msg_drop,0.0,3,0
consensus,20,60,ring_plus,-3.3006243618791413e-07,3.3006243618791413e-07,0.0,0.0,0.0,0.0,5640.0,5640.0,1.0,0.0,180480.0,32.0,0.0,5640.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.7626841175107806,0.9769948422407622,1.0,1.192736579937804e-06,-0.2570986018084519,9.0,1.0,1.3711704029417888,1.3711704029417888,consensus_trimmed,consensus_trimmed,msg_drop,0.0,4,0
consensus,20,60,ring_plus,-4.986010407718023e-07,4.986010407718023e-07,0.0,0.0,0.0,0.0,6360.0,6360.0,1.0,0.0,203520.0,32.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.7658983758636837,0.9931947664918263,1.0,3.022442589800201e-06,-0.25459690593449547,11.0,1.0,1.6160985120576443,1.616098512057644,consensus_trimmed,consensus_trimmed,msg_drop,0.0,5,0
consensus,20,60,ring_plus,-1.5514119972799072e-06,1.5514119972799072e-06,0.0,0.0,0.0,0.0,4680.0,4680.0,1.0,0.0,149760.0,32.0,0.0,4680.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.780196985857132,0.9958593992075357,1.0,8.287072127737848e-06,-0.35008553661746167,12.0,1.0,0.9450014459069909,0.9450014459069908,consensus_trimmed,consensus_trimmed,msg_drop,0.0,6,0
consensus,20,60,ring_plus,-5.6247169910680225e-08,5.6247169910680225e-08,0.0,0.0,0.0,0.0,6480.0,6480.0,1.0,0.0,207360.0,32.0,0.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.7378253692409176,0.9757614470350727,1.0,2.792965367543365e-07,-0.3212184232513867,9.0,1.0,2.218617553571293,2.218617553571293,consensus_trimmed,consensus_trimmed,msg_drop,0.0,7,0
consensus,20,60,ring_plus,-0.0002251020653163997,0.0002251020653163997,0.0,0.0,0.0,0.0,4200.0,4200.0,1.0,0.0,134400.0,32.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.8547593290810412,0.9856938144900125,1.0,0.0005217862119971232,-0.22535694615987265,16.0,1.0,0.7964836768628718,0.7964836768628717,consensus_trimmed,consensus_trimmed,msg_drop,0.0,8,0
consensus,20,60,ring_plus,-0.0012001212929787172,0.0012001212929787172,0.0,0.0,0.0,0.0,5280.0,5280.0,1.0,0.0,168960.0,32.0,0.0,5280.0,0.0,0.0,0.0,0.0,0.0,0.0,trimmed,0.8835971298453388,0.9559029033283781,1.0,0.0023077404780692066,-0.24588045014487053,15.0,1.0,0.9413291035084279,0.9413291035084281,consensus_trimmed,consensus_trimmed,msg_drop,0.0,9,0
consensus,20,60,ring_plus,-3.1515486366867134e-06,3.1515486366867134e-06,0.0,0.10277777777777777,0.0,0.0,5040.0,4522.0,0.8972222222222223,0.10277777777777775,144704.0,32.0,0.0,4522.0,0.0,0.0,518.0,0.0,0.0,0.0,trimmed,0.7974054206427289,0.9870059329786646,1.0,1.1961119673523066e-05,-0.1817866686390138,11.0,1.0,1.399646125476325,1.3458235410014037,consensus_trimmed,consensus_trimmed,msg_drop,0.1,0,0
