benchmark,n_agents,steps,topology,n_edges,k_colors,return,final_conflicts,final_conflict_frac,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,task,task_name,family,value,seed,episode
dcop_dsa,24,40,ring_plus,36,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,2880.0,2880.0,1.0,0.0,368640.0,128.0,0.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.010771207152935329,0.5085346716617253,1.0,0.0,-0.325,5.0,1.0,0.5162054954881106,dcop_dsa,dcop_dsa,msg_drop,0.0,0,0
dcop_dsa,24,40,ring_plus,51,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,4080.0,4080.0,1.0,0.0,522240.0,128.0,0.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.179897105456321,0.3210732994813985,0.95,0.0,-0.225,9.0,1.0,0.6661370859762062,dcop_dsa,dcop_dsa,msg_drop,0.0,1,0
dcop_dsa,24,40,ring_plus,46,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3680.0,3680.0,1.0,0.0,471040.0,128.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.034380379177131,0.42713425934273075,0.975,0.0,-0.3,6.0,1.0,0.5767138582645176,dcop_dsa,dcop_dsa,msg_drop,0.0,2,0
dcop_dsa,24,40,ring_plus,41,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3280.0,3280.0,1.0,0.0,419840.0,128.0,0.0,3280.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.03754888062302805,0.4213961772535819,0.975,0.0,-0.275,6.0,1.0,0.7280978425891074,dcop_dsa,dcop_dsa,msg_drop,0.0,3,0
dcop_dsa,24,40,ring_plus,45,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3600.0,3600.0,1.0,0.0,460800.0,128.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.27487198420628184,0.31592769142570076,1.0,0.0,-0.35,11.0,1.0,0.5276394113913421,dcop_dsa,dcop_dsa,msg_drop,0.0,4,0
dcop_dsa,24,40,ring_plus,46,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3680.0,3680.0,1.0,0.0,471040.0,128.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.1686903950923773,0.350689749732624,0.95,0.0,-0.225,9.0,1.0,0.6625865705641144,dcop_dsa,dcop_dsa,msg_drop,0.0,5,0
dcop_dsa,24,40,ring_plus,36,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,2880.0,2880.0,1.0,0.0,368640.0,128.0,0.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.0114420933187712,0.49072512800834023,1.0,0.0,-0.25,5.0,1.0,0.37292756063084187,dcop_dsa,dcop_dsa,msg_drop,0.0,6,0
dcop_dsa,24,40,ring_plus,46,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3680.0,3680.0,1.0,0.0,471040.0,128.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.1604140721406252,0.3560328499355453,1.0,0.0,-0.35,9.0,1.0,0.3541200301325499,dcop_dsa,dcop_dsa,msg_drop,0.0,7,0
dcop_dsa,24,40,ring_plus,41,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3280.0,3280.0,1.0,0.0,419840.0,128.0,0.0,3280.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.0001512126072666117,0.6189150648130076,0.975,0.0,-0.1,3.0,1.0,0.6798047431008131,dcop_dsa,dcop_dsa,msg_drop,0.0,8,0
dcop_dsa,24,40,ring_plus,50,4,-0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,4000.0,4000.0,1.0,0.0,512000.0,128.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,dsa,0.011571779554105726,0.5054430227024169,0.95,0.0,-0.275,5.0,1.0,0.9519929129079138,dcop_dsa,dcop_dsa,msg_drop,0.0,9,0
