benchmark,n_agents,steps,topology,n_edges,k_colors,return,final_conflicts,final_conflict_frac,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,task,task_name,family,value,seed,episode
dcop_minsum,24,40,ring_plus,36,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,2880.0,1.0,0.0,368640.0,128.0,0.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,2.7735009811261474e-07,0.7963016814719625,1.0,0.0,-0.325,2.0,1.0,0.5162054954881106,dcop_minsum,dcop_minsum,msg_drop,0.0,0,0
dcop_minsum,24,40,ring_plus,51,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4080.0,4080.0,1.0,0.0,522240.0,128.0,0.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.012690146647762898,0.48613104022524123,0.975,0.0,-0.225,5.0,1.0,0.6661370859762062,dcop_minsum,dcop_minsum,msg_drop,0.0,1,0
dcop_minsum,24,40,ring_plus,46,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3680.0,1.0,0.0,471040.0,128.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.17379987613064898,0.3440488199075741,0.975,0.0,-0.3,9.0,1.0,0.5767138582645176,dcop_minsum,dcop_minsum,msg_drop,0.0,2,0
dcop_minsum,24,40,ring_plus,41,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3280.0,3280.0,1.0,0.0,419840.0,128.0,0.0,3280.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.00011748246994956398,0.6462804036489715,1.0,0.0,-0.275,3.0,1.0,0.7280978425891074,dcop_minsum,dcop_minsum,msg_drop,0.0,3,0
dcop_minsum,24,40,ring_plus,45,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,3600.0,1.0,0.0,460800.0,128.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.1857591806955914,0.30896466781109466,0.925,0.0,-0.35,9.0,1.0,0.5276394113913421,dcop_minsum,dcop_minsum,msg_drop,0.0,4,0
dcop_minsum,24,40,ring_plus,46,4,-17.0,17.0,0.3695652173913043,17.0,0.0,0.0,0.0,0.0,3680.0,3680.0,1.0,0.0,471040.0,128.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,1.0,0.0,0.5,14.5,0.2,,0.0,0.6625865705641144,dcop_minsum,dcop_minsum,msg_drop,0.0,5,0
dcop_minsum,24,40,ring_plus,36,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,2880.0,1.0,0.0,368640.0,128.0,0.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.0001071773462536297,0.6624067863220915,1.0,0.0,-0.25,3.0,1.0,0.37292756063084187,dcop_minsum,dcop_minsum,msg_drop,0.0,6,0
dcop_minsum,24,40,ring_plus,46,4,-3.0,3.0,0.06521739130434782,3.0,0.0,0.0030570652173913045,0.0,0.0,3680.0,3680.0,1.0,0.0,471040.0,128.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.07535223114927193,0.38537952174811885,0.55,2.625,-0.275,7.0,1.0,0.3541200301325499,dcop_minsum,dcop_minsum,msg_drop,0.0,7,0
dcop_minsum,24,40,ring_plus,41,4,-3.0,3.0,0.07317073170731707,3.0,0.0,0.0,0.0,0.0,3280.0,3280.0,1.0,0.0,419840.0,128.0,0.0,3280.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.08356746304268925,0.363822955280949,0.625,1.75,-0.025,7.0,1.0,0.6798047431008131,dcop_minsum,dcop_minsum,msg_drop,0.0,8,0
dcop_minsum,24,40,ring_plus,50,4,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,1.0,0.0,512000.0,128.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,minsum,0.00010961502039017447,0.6653822987978404,1.0,0.0,-0.275,3.0,1.0,0.9519929129079138,dcop_minsum,dcop_minsum,msg_drop,0.0,9,0
