benchmark,n_agents,steps,topology,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode
flocking,40,60,ring_plus,-2.6883602032511884e-09,2.6883602032511884e-09,0.0,0.0,0.0,0.0,17760.0,17760.0,1.0,0.0,1136640.0,64.0,0.0,17760.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6899555580757922,0.9951244183011327,1.0,3.338546384153342e-08,-0.9011032321071394,8.0,1.0,2.4252258299166085,2.425225829916608,flocking_mean,flocking_mean,msg_drop,0.0,0,0
flocking,40,60,ring_plus,-3.568228144794844e-08,3.568228144794844e-08,0.0,0.0,0.0,0.0,17040.0,17040.0,1.0,0.0,1090560.0,64.0,0.0,17040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7138864868215069,0.9950972227071196,1.0,3.388484954696164e-07,-1.309987063923549,9.0,1.0,1.8704149342977936,1.8704149342977938,flocking_mean,flocking_mean,msg_drop,0.0,1,0
flocking,40,60,ring_plus,-2.747955925778567e-10,2.747955925778567e-10,0.0,0.0,0.0,0.0,20160.0,20160.0,1.0,0.0,1290240.0,64.0,0.0,20160.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6575411093325736,0.9981474804175753,1.0,5.58019051067103e-09,-1.4565819081259321,7.0,1.0,2.919129404845244,2.9191294048452443,flocking_mean,flocking_mean,msg_drop,0.0,2,0
flocking,40,60,ring_plus,-2.4014328458484046e-08,2.4014328458484046e-08,0.0,0.0,0.0,0.0,17400.0,17400.0,1.0,0.0,1113600.0,64.0,0.0,17400.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.709589453798814,0.9954934260316973,1.0,2.462448098137725e-07,-1.5241126075010036,8.0,1.0,2.5313155292563594,2.5313155292563585,flocking_mean,flocking_mean,msg_drop,0.0,3,0
flocking,40,60,ring_plus,-3.959633260435675e-08,3.959633260435675e-08,0.0,0.0,0.0,0.0,19080.0,19080.0,1.0,0.0,1221120.0,64.0,0.0,19080.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.716161027269332,0.9963802356174616,1.0,3.7739933465878787e-07,-1.307321117502408,9.0,1.0,2.8450314110379797,2.8450314110379797,flocking_mean,flocking_mean,msg_drop,0.0,4,0
flocking,40,60,ring_plus,-1.1777890317069734e-07,1.1777890317069734e-07,0.0,0.0,0.0,0.0,18720.0,18720.0,1.0,0.0,1198080.0,64.0,0.0,18720.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7298045973734691,0.9946985150039975,1.0,9.635172432999445e-07,-1.4403109442027107,9.0,1.0,2.563412626110077,2.563412626110077,flocking_mean,flocking_mean,msg_drop,0.0,5,0
flocking,40,60,ring_plus,-2.833028726870487e-08,2.833028726870487e-08,0.0,0.0,0.0,0.0,17040.0,17040.0,1.0,0.0,1090560.0,64.0,0.0,17040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7177428479536634,0.9929624964149051,1.0,2.4676072598517206e-07,-1.0098572272776485,8.0,1.0,2.2353075819543733,2.2353075819543733,flocking_mean,flocking_mean,msg_drop,0.0,6,0
flocking,40,60,ring_plus,-7.84037869204742e-09,7.84037869204742e-09,0.0,0.0,0.0,0.0,18240.0,18240.0,1.0,0.0,1167360.0,64.0,0.0,18240.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6963617426066013,0.9961509660441085,1.0,8.856411888713825e-08,-1.3071567702780258,8.0,1.0,2.088773022936588,2.088773022936588,flocking_mean,flocking_mean,msg_drop,0.0,7,0
flocking,40,60,ring_plus,-1.9849900825817076e-07,1.9849900825817076e-07,0.0,0.0,0.0,0.0,17760.0,17760.0,1.0,0.0,1136640.0,64.0,0.0,17760.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.739057366502197,0.9910231824239153,1.0,1.3339523292826416e-06,-1.2712772208620848,8.0,1.0,2.234234449997726,2.234234449997726,flocking_mean,flocking_mean,msg_drop,0.0,8,0
flocking,40,60,ring_plus,-6.182372179535602e-09,6.182372179535602e-09,0.0,0.0,0.0,0.0,17040.0,17040.0,1.0,0.0,1090560.0,64.0,0.0,17040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.690619394553131,0.9941293971278768,1.0,6.068726708333451e-08,-1.2902570579108779,8.0,1.0,2.140351993937301,2.140351993937301,flocking_mean,flocking_mean,msg_drop,0.0,9,0
flocking,40,60,ring_plus,-2.5625329932933982e-09,2.5625329932933982e-09,0.0,0.10016891891891892,0.0,0.0,17760.0,15981.0,0.8998310810810811,0.10016891891891888,1022784.0,64.0,0.0,15981.0,0.0,0.0,1779.0,0.0,0.0,0.0,mean,0.6894978182592784,0.9952515376189421,1.0,3.181664907241635e-08,-0.9011032321092368,8.0,1.0,2.4252258299166085,2.3543943372522786,flocking_mean,flocking_mean,msg_drop,0.1,0,0
flocking,40,60,ring_plus,-3.398373968521361e-08,3.398373968521361e-08,0.0,0.1,0.0,0.0,17040.0,15336.0,0.9,0.09999999999999998,981504.0,64.0,0.0,15336.0,0.0,0.0,1704.0,0.0,0.0,0.0,mean,0.7136583971462915,0.9952070242177522,1.0,3.247832373329527e-07,-1.3099870639518576,9.0,1.0,1.8704149342977936,1.8246819004185753,flocking_mean,flocking_mean,msg_drop,0.1,1,0
flocking,40,60,ring_plus,-2.537201246850859e-10,2.537201246850859e-10,0.0,0.10173611111111111,0.0,0.0,20160.0,18109.0,0.8982638888888889,0.10173611111111114,1158976.0,64.0,0.0,18109.0,0.0,0.0,2051.0,0.0,0.0,0.0,mean,0.6559623495137941,0.9981696390291617,1.0,5.143952281567885e-09,-1.456581908126283,8.0,1.0,2.919129404845244,2.8609379286529,flocking_mean,flocking_mean,msg_drop,0.1,2,0
