benchmark,n_agents,steps,topology,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode
formation,12,80,ring_plus,-1.1531415796200833e-08,1.1531415796200833e-08,0.0,0.0,0.0,0.0,3040.0,3040.0,1.0,0.0,194560.0,64.0,0.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7745104234198882,0.9947640478564642,1.0,1.235784849341873e-07,-1.0146390435241606,8.0,1.0,0.8374775018117306,0.8374775018117306,formation_mean,formation_mean,msg_drop,0.0,0,0
formation,12,80,ring_plus,-2.7905601021270875e-10,2.7905601021270875e-10,0.0,0.0,0.0,0.0,3680.0,3680.0,1.0,0.0,235520.0,64.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7299224581298576,0.9992235569656583,1.0,6.8885029774398996e-09,-1.1482056163295995,10.0,1.0,1.2149803804563146,1.2149803804563144,formation_mean,formation_mean,msg_drop,0.0,1,0
formation,12,80,ring_plus,-2.6789964214374115e-08,2.6789964214374115e-08,0.0,0.0,0.0,0.0,3200.0,3200.0,1.0,0.0,204800.0,64.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7790888850605363,0.9943142127594012,1.0,2.5987703222471705e-07,-1.2587880793395247,9.0,1.0,0.7804913528911942,0.7804913528911942,formation_mean,formation_mean,msg_drop,0.0,2,0
formation,12,80,ring_plus,-4.650937397628546e-09,4.650937397628546e-09,0.0,0.0,0.0,0.0,3680.0,3680.0,1.0,0.0,235520.0,64.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7708270330750207,0.9863190018588274,1.0,4.8947002811545406e-08,-1.6441112757204057,6.0,1.0,0.9453557583526553,0.9453557583526553,formation_mean,formation_mean,msg_drop,0.0,3,0
formation,12,80,ring_plus,-1.044846762290114e-05,1.044846762290114e-05,0.0,0.0,0.0,0.0,3200.0,3200.0,1.0,0.0,204800.0,64.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.851800687941784,0.9846066875660351,1.0,4.091837350657954e-05,-0.85735643784014,8.0,1.0,0.5753969263128755,0.5753969263128756,formation_mean,formation_mean,msg_drop,0.0,4,0
formation,12,80,ring_plus,-2.5061828315379366e-06,2.5061828315379366e-06,0.0,0.0,0.0,0.0,3200.0,3200.0,1.0,0.0,204800.0,64.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8338861923607384,0.9923731449189704,1.0,1.2060602320327835e-05,-0.4394446197992671,13.0,1.0,0.5614766815680613,0.5614766815680613,formation_mean,formation_mean,msg_drop,0.0,5,0
formation,12,80,ring_plus,-5.903849113804756e-06,5.903849113804756e-06,0.0,0.0,0.0,0.0,3040.0,3040.0,1.0,0.0,194560.0,64.0,0.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8413335666845804,0.986715474932696,1.0,2.507488025622072e-05,-0.9143614644353206,10.0,1.0,0.582300940737028,0.582300940737028,formation_mean,formation_mean,msg_drop,0.0,6,0
formation,12,80,ring_plus,-5.92432537519038e-15,5.92432537519038e-15,0.0,0.0,0.0,0.0,4320.0,4320.0,1.0,0.0,276480.0,64.0,0.0,4320.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.640360518432385,0.9962226805486479,1.0,5.516664155192429e-13,-0.7341167357490656,7.0,1.0,1.492696948605229,1.4926969486052288,formation_mean,formation_mean,msg_drop,0.0,7,0
formation,12,80,ring_plus,-1.1962711823969772e-06,1.1962711823969772e-06,0.0,0.0,0.0,0.0,3040.0,3040.0,1.0,0.0,194560.0,64.0,0.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8294583623813415,0.9858979386814741,1.0,5.993456730648866e-06,-0.7234675435963179,8.0,1.0,0.7074975877589688,0.7074975877589688,formation_mean,formation_mean,msg_drop,0.0,8,0
formation,12,80,ring_plus,-6.547756787567549e-08,6.547756787567549e-08,0.0,0.0,0.0,0.0,3200.0,3200.0,1.0,0.0,204800.0,64.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8051109461280102,0.9714173505781161,1.0,3.8339631881965916e-07,-0.9815813556969528,6.0,1.0,0.7373428196879402,0.7373428196879404,formation_mean,formation_mean,msg_drop,0.0,9,0
formation,12,80,ring_plus,-1.3827707792903898e-08,1.3827707792903898e-08,0.0,0.10559210526315789,0.0,0.0,3040.0,2719.0,0.8944078947368421,0.10559210526315788,174016.0,64.0,0.0,2719.0,0.0,0.0,321.0,0.0,0.0,0.0,mean,0.7729511832667232,0.9963473162248113,1.0,1.2512281266677018e-07,-1.0146390434954569,9.0,1.0,0.8374775018117306,0.8039329723935577,formation_mean,formation_mean,msg_drop,0.1,0,0
formation,12,80,ring_plus,-2.699362077336242e-10,2.699362077336242e-10,0.0,0.1,0.0,0.0,3680.0,3312.0,0.9,0.09999999999999998,211968.0,64.0,0.0,3312.0,0.0,0.0,368.0,0.0,0.0,0.0,mean,0.7327783246519819,0.9986910622478713,1.0,8.138445807665001e-09,-1.1482056163297132,10.0,1.0,1.2149803804563146,1.1839967573529653,formation_mean,formation_mean,msg_drop,0.1,1,0
formation,12,80,ring_plus,-6.65484545749394e-08,6.65484545749394e-08,0.0,0.101875,0.0,0.0,3200.0,2874.0,0.898125,0.10187500000000005,183936.0,64.0,0.0,2874.0,0.0,0.0,326.0,0.0,0.0,0.0,mean,0.788533900838264,0.9956279593988832,1.0,7.369887784229111e-07,-1.2587880788425436,10.0,1.0,0.7804913528911942,0.7614423521597095,formation_mean,formation_mean,msg_drop,0.1,2,0
formation,12,80,ring_plus,-4.730535516784494e-09,4.730535516784494e-09,0.0,0.09456521739130434,0.0,0.0,3680.0,3332.0,0.9054347826086957,0.0945652173913043,213248.0,64.0,0.0,3332.0,0.0,0.0,348.0,0.0,0.0,0.0,mean,0.7729710809653393,0.9844511426021378,1.0,5.986191738116816e-08,-1.6441112757194105,6.0,1.0,0.9453557583526553,0.9305213564977166,formation_mean,formation_mean,msg_drop,0.1,3,0
formation,12,80,ring_plus,-9.206136101541749e-06,9.206136101541749e-06,0.0,0.1021875,0.0,0.0,3200.0,2873.0,0.8978125,0.10218749999999999,183872.0,64.0,0.0,2873.0,0.0,0.0,327.0,0.0,0.0,0.0,mean,0.8485129367533071,0.9869986426920452,1.0,3.5693307333630806e-05,-0.8573564533692842,9.0,1.0,0.5753969263128755,0.5597469727491294,formation_mean,formation_mean,msg_drop,0.1,4,0
formation,12,80,ring_plus,-2.510645895292996e-06,2.510645895292996e-06,0.0,0.096875,0.0,0.0,3200.0,2890.0,0.903125,0.09687500000000004,184960.0,64.0,0.0,2890.0,0.0,0.0,310.0,0.0,0.0,0.0,mean,0.8330784392328388,0.9936835960239976,1.0,1.241682823707984e-05,-0.4394446197434787,13.0,1.0,0.5614766815680613,0.5489615060789856,formation_mean,formation_mean,msg_drop,0.1,5,0
formation,12,80,ring_plus,-7.483530144158222e-06,7.483530144158222e-06,0.0,0.09638157894736842,0.0,0.0,3040.0,2747.0,0.9036184210526316,0.09638157894736843,175808.0,64.0,0.0,2747.0,0.0,0.0,293.0,0.0,0.0,0.0,mean,0.8439406474901545,0.9887496859331997,1.0,3.437984921415901e-05,-0.9143614446893077,11.0,1.0,0.582300940737028,0.5663671045533135,formation_mean,formation_mean,msg_drop,0.1,6,0
formation,12,80,ring_plus,-1.442762241407273e-14,1.442762241407273e-14,0.0,0.10277777777777777,0.0,0.0,4320.0,3876.0,0.8972222222222223,0.10277777777777775,248064.0,64.0,0.0,3876.0,0.0,0.0,444.0,0.0,0.0,0.0,mean,0.6488513890386431,0.9977795086615969,1.0,1.3350532636563092e-12,-0.734116735749065,7.0,1.0,1.492696948605229,1.4439834066367194,formation_mean,formation_mean,msg_drop,0.1,7,0
formation,12,80,ring_plus,-1.6711288697648072e-06,1.6711288697648072e-06,0.0,0.10493421052631578,0.0,0.0,3040.0,2721.0,0.8950657894736842,0.1049342105263158,174144.0,64.0,0.0,2721.0,0.0,0.0,319.0,0.0,0.0,0.0,mean,0.8305402046049459,0.9851486768452694,1.0,7.518994098657444e-06,-0.723467537660597,9.0,1.0,0.7074975877589688,0.6862735131844284,formation_mean,formation_mean,msg_drop,0.1,8,0
formation,12,80,ring_plus,-9.037420427320711e-08,9.037420427320711e-08,0.0,0.1071875,0.0,0.0,3200.0,2857.0,0.8928125,0.10718749999999999,182848.0,64.0,0.0,2857.0,0.0,0.0,343.0,0.0,0.0,0.0,mean,0.8084326404620555,0.9759031711073421,1.0,6.207916253747863e-07,-0.9815813553857449,6.0,1.0,0.7373428196879402,0.7141836764502487,formation_mean,formation_mean,msg_drop,0.1,9,0
formation,12,80,ring_plus,-1.7148792158705308e-08,1.7148792158705308e-08,0.0,0.29078947368421054,0.0,0.0,3040.0,2156.0,0.7092105263157895,0.2907894736842105,137984.0,64.0,0.0,2156.0,0.0,0.0,884.0,0.0,0.0,0.0,mean,0.7725990591903924,0.9940972752679367,1.0,1.2576428199116654e-07,-1.0146390434539434,9.0,1.0,0.8374775018117306,0.6087127127185317,formation_mean,formation_mean,msg_drop,0.3,0,0
formation,12,80,ring_plus,-1.211667495976359e-10,1.211667495976359e-10,0.0,0.29836956521739133,0.0,0.0,3680.0,2582.0,0.7016304347826087,0.29836956521739133,165248.0,64.0,0.0,2582.0,0.0,0.0,1098.0,0.0,0.0,0.0,mean,0.7255827041850703,0.9983817181432991,1.0,4.4300942353341465e-09,-1.1482056163315728,10.0,1.0,1.2149803804563146,0.9295216241861028,formation_mean,formation_mean,msg_drop,0.3,1,0
formation,12,80,ring_plus,-3.3462695581754116e-07,3.3462695581754116e-07,0.0,0.313125,0.0,0.0,3200.0,2198.0,0.686875,0.313125,140672.0,64.0,0.0,2198.0,0.0,0.0,1002.0,0.0,0.0,0.0,mean,0.8032474831101605,0.9938314241437579,0.9625,2.473621690078809e-06,-1.2587880754915621,11.0,1.0,0.7804913528911942,0.5772121987748168,formation_mean,formation_mean,msg_drop,0.3,2,0
formation,12,80,ring_plus,-1.5857969127267854e-08,1.5857969127267854e-08,0.0,0.2872282608695652,0.0,0.0,3680.0,2623.0,0.7127717391304348,0.2872282608695652,167872.0,64.0,0.0,2623.0,0.0,0.0,1057.0,0.0,0.0,0.0,mean,0.783117860209933,0.984947836779663,1.0,1.6997035993240319e-07,-1.6441112755803176,6.0,1.0,0.9453557583526553,0.750087337214149,formation_mean,formation_mean,msg_drop,0.3,3,0
formation,12,80,ring_plus,-3.536067889976139e-05,3.536067889976139e-05,0.0,0.2975,0.0,0.0,3200.0,2248.0,0.7025,0.2975,143872.0,64.0,0.0,2248.0,0.0,0.0,952.0,0.0,0.0,0.0,mean,0.8623908993583865,0.9838187224033259,0.9625,0.0001201312994825971,-0.8573561264374993,10.0,1.0,0.5753969263128755,0.4550232559124569,formation_mean,formation_mean,msg_drop,0.3,4,0
formation,12,80,ring_plus,-5.470717935544022e-06,5.470717935544022e-06,0.0,0.2946875,0.0,0.0,3200.0,2257.0,0.7053125,0.2946875,144448.0,64.0,0.0,2257.0,0.0,0.0,943.0,0.0,0.0,0.0,mean,0.8388221327159708,0.9929111716095593,0.975,2.7992069982386872e-05,-0.43944458274257825,15.0,1.0,0.5614766815680613,0.3952318265233877,formation_mean,formation_mean,msg_drop,0.3,5,0
formation,12,80,ring_plus,-1.474102275797018e-05,1.474102275797018e-05,0.0,0.29638157894736844,0.0,0.0,3040.0,2139.0,0.7036184210526316,0.2963815789473684,136896.0,64.0,0.0,2139.0,0.0,0.0,901.0,0.0,0.0,0.0,mean,0.8482012843747558,0.9856490705132076,0.975,7.186581297309943e-05,-0.9143613539706502,12.0,1.0,0.582300940737028,0.42537718014940423,formation_mean,formation_mean,msg_drop,0.3,6,0
formation,12,80,ring_plus,-5.695607153364655e-13,5.695607153364655e-13,0.0,0.2988425925925926,0.0,0.0,4320.0,3029.0,0.7011574074074074,0.2988425925925926,193856.0,64.0,0.0,3029.0,0.0,0.0,1291.0,0.0,0.0,0.0,mean,0.6778467192547527,0.9973045735124708,0.9875,2.1540826745687495e-11,-0.7341167357490583,8.0,1.0,1.492696948605229,1.1926975654809646,formation_mean,formation_mean,msg_drop,0.3,7,0
formation,12,80,ring_plus,-1.4921867873094579e-06,1.4921867873094579e-06,0.0,0.31546052631578947,0.0,0.0,3040.0,2081.0,0.6845394736842105,0.31546052631578947,133184.0,64.0,0.0,2081.0,0.0,0.0,959.0,0.0,0.0,0.0,mean,0.8279321983378369,0.984176147897869,0.9875,7.197582500598347e-06,-0.7234675398973731,10.0,1.0,0.7074975877589688,0.46706298413624425,formation_mean,formation_mean,msg_drop,0.3,8,0
formation,12,80,ring_plus,-2.9055346358492266e-07,2.9055346358492266e-07,0.0,0.304375,0.0,0.0,3200.0,2226.0,0.695625,0.30437499999999995,142464.0,64.0,0.0,2226.0,0.0,0.0,974.0,0.0,0.0,0.0,mean,0.8188156355371041,0.9763980701443101,1.0,2.0726250191056073e-06,-0.9815813528835042,7.0,1.0,0.7373428196879402,0.5491088189720597,formation_mean,formation_mean,msg_drop,0.3,9,0
formation,12,80,ring_plus,-1.065903919775509e-07,1.065903919775509e-07,0.0,0.4921052631578947,0.0,0.0,3040.0,1544.0,0.5078947368421053,0.4921052631578947,98816.0,64.0,0.0,1544.0,0.0,0.0,1496.0,0.0,0.0,0.0,mean,0.789576525216064,0.9868278848495643,0.9875,6.055510096157799e-07,-1.0146390423359235,10.0,1.0,0.8374775018117306,0.2867190326228385,formation_mean,formation_mean,msg_drop,0.5,0,0
formation,12,80,ring_plus,-1.0920347233327497e-09,1.0920347233327497e-09,0.0,0.5065217391304347,0.0,0.0,3680.0,1816.0,0.4934782608695652,0.5065217391304349,116224.0,64.0,0.0,1816.0,0.0,0.0,1864.0,0.0,0.0,0.0,mean,0.7441441396164373,0.998456692784723,0.9875,2.466168449652129e-08,-1.1482056163194367,10.0,1.0,1.2149803804563146,0.43913369357729903,formation_mean,formation_mean,msg_drop,0.5,1,0
formation,12,80,ring_plus,-1.7089066312378857e-06,1.7089066312378857e-06,0.0,0.5065625,0.0,0.0,3200.0,1579.0,0.4934375,0.5065625,101056.0,64.0,0.0,1579.0,0.0,0.0,1621.0,0.0,0.0,0.0,mean,0.8160982659952732,0.9926957956854472,0.9125,8.21340762186211e-06,-1.2587880583130664,12.0,1.0,0.7804913528911942,0.2461983382512974,formation_mean,formation_mean,msg_drop,0.5,2,0
