benchmark,n_agents,steps,topology,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode
formation,12,80,ring_plus,-0.00022160767295783537,0.00022160767295783537,0.0,0.0,0.0,0.0,3040.0,3040.0,1.0,0.0,194560.0,64.0,0.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.886875731839717,0.9263137369117306,1.0,0.0005001554867893618,-1.0146362735723915,9.0,1.0,0.8374775018117306,0.8374775018117306,formation_median,formation_median,msg_drop,0.0,0,0
formation,12,80,ring_plus,-9.554835564855314e-07,9.554835564855314e-07,0.0,0.0,0.0,0.0,3680.0,3680.0,1.0,0.0,235520.0,64.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8049659375638506,0.9993348589587164,1.0,7.628493533848538e-06,-1.1482056043895432,17.0,1.0,1.2149803804563146,1.2149803804563144,formation_median,formation_median,msg_drop,0.0,1,0
formation,12,80,ring_plus,-0.00033832137644142994,0.00033832137644142994,0.0,0.0,0.0,0.0,3200.0,3200.0,1.0,0.0,204800.0,64.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8890170277129217,0.9344443313999127,1.0,0.0007663334795496386,-1.2587838506571938,8.0,1.0,0.7804913528911942,0.7804913528911942,formation_median,formation_median,msg_drop,0.0,2,0
formation,12,80,ring_plus,-3.984746336536951e-07,3.984746336536951e-07,0.0,0.0,0.0,0.0,3680.0,3680.0,1.0,0.0,235520.0,64.0,0.0,3680.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8060821494621854,0.9949088324610001,1.0,3.176910499023565e-06,-1.6441112707976093,8.0,1.0,0.9453557583526553,0.9453557583526553,formation_median,formation_median,msg_drop,0.0,3,0
formation,12,80,ring_plus,-2.916959417138675,2.916959417138675,0.0,0.0,0.0,0.0,3200.0,3200.0,1.0,0.0,204800.0,64.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8839575766947052,0.5238799471414854,0.2,2.9168574022753644,-0.8208945757317518,,0.0,0.5753969263128755,0.5753969263128756,formation_median,formation_median,msg_drop,0.0,4,0
formation,12,80,ring_plus,-0.1198054017827879,0.1198054017827879,0.0,0.0,0.0,0.0,3200.0,3200.0,1.0,0.0,204800.0,64.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.9649318876954736,0.4930816602113375,1.0,0.11980661804502576,-0.43794708360426765,15.0,1.0,0.5614766815680613,0.5614766815680613,formation_median,formation_median,msg_drop,0.0,5,0
formation,12,80,ring_plus,-1.9908806637955465,1.9908806637955465,0.0,0.0,0.0,0.0,3040.0,3040.0,1.0,0.0,194560.0,64.0,0.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.8033018452491356,0.6829801755371483,0.1625,1.9906969604063751,-0.8894755299359904,,0.0,0.582300940737028,0.582300940737028,formation_median,formation_median,msg_drop,0.0,6,0
formation,12,80,ring_plus,-3.8965637895967457e-13,3.8965637895967457e-13,0.0,0.0,0.0,0.0,4320.0,4320.0,1.0,0.0,276480.0,64.0,0.0,4320.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.6751374331250043,0.9414279825930431,1.0,3.1890196341084394e-12,-0.7341167357490606,6.0,1.0,1.492696948605229,1.4926969486052288,formation_median,formation_median,msg_drop,0.0,7,0
formation,12,80,ring_plus,-1.341134592675042,1.341134592675042,0.0,0.0,0.0,0.0,3040.0,3040.0,1.0,0.0,194560.0,64.0,0.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.9599699185809112,0.37512624570192,0.4875,1.3411344683084057,-0.70670337614127,,0.0,0.7074975877589688,0.7074975877589688,formation_median,formation_median,msg_drop,0.0,8,0
formation,12,80,ring_plus,-0.20221460887364656,0.20221460887364656,0.0,0.0,0.0,0.0,3200.0,3200.0,1.0,0.0,204800.0,64.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,median,0.9688436342104325,0.44771592233447877,1.0,0.20236130170042774,-0.979053673904502,11.0,1.0,0.7373428196879402,0.7373428196879404,formation_median,formation_median,msg_drop,0.0,9,0
formation,12,80,ring_plus,-4.0638632691516636e-07,4.0638632691516636e-07,0.0,0.10559210526315789,0.0,0.0,3040.0,2719.0,0.8944078947368421,0.10559210526315788,174016.0,64.0,0.0,2719.0,0.0,0.0,321.0,0.0,0.0,0.0,median,0.7993590217551545,0.9618048578936635,1.0,9.085814887105615e-07,-1.0146390385884743,9.0,1.0,0.8374775018117306,0.8039329723935577,formation_median,formation_median,msg_drop,0.1,0,0
formation,12,80,ring_plus,-1.3473734734972132e-06,1.3473734734972132e-06,0.0,0.1,0.0,0.0,3680.0,3312.0,0.9,0.09999999999999998,211968.0,64.0,0.0,3312.0,0.0,0.0,368.0,0.0,0.0,0.0,median,0.8202413404054579,0.9936356232637965,1.0,1.7826461917899094e-05,-1.148205599490919,15.0,1.0,1.2149803804563146,1.1839967573529653,formation_median,formation_median,msg_drop,0.1,1,0
formation,12,80,ring_plus,-3.883933380997919e-06,3.883933380997919e-06,0.0,0.101875,0.0,0.0,3200.0,2874.0,0.898125,0.10187500000000005,183936.0,64.0,0.0,2874.0,0.0,0.0,326.0,0.0,0.0,0.0,median,0.8317456886235529,0.9905787251061151,1.0,2.037908173331136e-05,-1.2587880311252322,10.0,1.0,0.7804913528911942,0.7614423521597095,formation_median,formation_median,msg_drop,0.1,2,0
formation,12,80,ring_plus,-1.2352234002508933e-07,1.2352234002508933e-07,0.0,0.09456521739130434,0.0,0.0,3680.0,3332.0,0.9054347826086957,0.0945652173913043,213248.0,64.0,0.0,3332.0,0.0,0.0,348.0,0.0,0.0,0.0,median,0.8003403776464088,0.9928804630168553,1.0,1.6671449027875589e-06,-1.6441112742345134,7.0,1.0,0.9453557583526553,0.9305213564977166,formation_median,formation_median,msg_drop,0.1,3,0
formation,12,80,ring_plus,-0.02128594276007966,0.02128594276007966,0.0,0.1021875,0.0,0.0,3200.0,2873.0,0.8978125,0.10218749999999999,183872.0,64.0,0.0,2873.0,0.0,0.0,327.0,0.0,0.0,0.0,median,0.9315117802337345,0.9385508034861698,0.7,0.03131770026284847,-0.8570904941614843,21.0,1.0,0.5753969263128755,0.5597469727491294,formation_median,formation_median,msg_drop,0.1,4,0
formation,12,80,ring_plus,-3.710630759252874e-05,3.710630759252874e-05,0.0,0.096875,0.0,0.0,3200.0,2890.0,0.903125,0.09687500000000004,184960.0,64.0,0.0,2890.0,0.0,0.0,310.0,0.0,0.0,0.0,median,0.8601356582683763,0.9672100441337244,1.0,9.409359870248351e-05,-0.4394441872977075,14.0,1.0,0.5614766815680613,0.5489615060789856,formation_median,formation_median,msg_drop,0.1,5,0
formation,12,80,ring_plus,-0.03370925212709668,0.03370925212709668,0.0,0.09638157894736842,0.0,0.0,3040.0,2747.0,0.9036184210526316,0.09638157894736843,175808.0,64.0,0.0,2747.0,0.0,0.0,293.0,0.0,0.0,0.0,median,0.9453399975901368,0.8623091637580416,0.6625,0.06618800297021356,-0.9139401725818459,22.0,1.0,0.582300940737028,0.5663671045533135,formation_median,formation_median,msg_drop,0.1,6,0
