return,steps,comm_mse,comm_zero_frac,comm_age_mean,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,benchmark,algo,n_agents,task,task_name,family,value,seed,episode
-39.99294350310818,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,0,0
-31.644883653976315,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,1,0
-33.163647638180095,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,2,0
-23.301746428121344,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,3,0
-15.747531741357045,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,4,0
-29.160384139654845,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,5,0
-15.546754706570272,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,6,0
-8.042040940297452,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,7,0
-32.715885537526844,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,8,0
-22.37531250977053,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.0,9,0
-39.99294350310818,25.0,0.0,1.0,1.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,0,0
-31.644883653976315,25.0,0.0,1.0,1.0,50.0,46.0,0.92,0.07999999999999996,4416.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,1,0
-33.163647638180095,25.0,0.0,1.0,1.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,2,0
-23.301746428121344,25.0,0.0,1.0,1.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,3,0
-15.747531741357045,25.0,0.0,1.0,1.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,4,0
-29.160384139654845,25.0,0.0,1.0,1.0,50.0,42.0,0.84,0.16000000000000003,4032.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,5,0
-15.546754706570272,25.0,0.0,1.0,1.0,50.0,43.0,0.86,0.14,4128.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,6,0
-8.042040940297452,25.0,0.0,1.0,1.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,7,0
-32.715885537526844,25.0,0.0,1.0,1.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,8,0
-22.37531250977053,25.0,0.0,1.0,1.0,50.0,45.0,0.9,0.09999999999999998,4320.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.1,9,0
-39.99294350310818,25.0,0.0,1.0,1.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,0,0
-31.644883653976315,25.0,0.0,1.0,1.0,50.0,38.0,0.76,0.24,3648.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,1,0
-33.163647638180095,25.0,0.0,1.0,1.0,50.0,34.0,0.68,0.31999999999999995,3264.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,2,0
-23.301746428121344,25.0,0.0,1.0,1.0,50.0,38.0,0.76,0.24,3648.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,3,0
-15.747531741357045,25.0,0.0,1.0,1.0,50.0,40.0,0.8,0.19999999999999996,3840.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,4,0
-29.160384139654845,25.0,0.0,1.0,1.0,50.0,32.0,0.64,0.36,3072.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,5,0
-15.546754706570272,25.0,0.0,1.0,1.0,50.0,32.0,0.64,0.36,3072.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,6,0
-8.042040940297452,25.0,0.0,1.0,1.0,50.0,38.0,0.76,0.24,3648.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,7,0
-32.715885537526844,25.0,0.0,1.0,1.0,50.0,33.0,0.66,0.33999999999999997,3168.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,8,0
-22.37531250977053,25.0,0.0,1.0,1.0,50.0,33.0,0.66,0.33999999999999997,3168.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.3,9,0
-39.99294350310818,25.0,0.0,1.0,1.0,50.0,24.0,0.48,0.52,2304.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,0,0
-31.644883653976315,25.0,0.0,1.0,1.0,50.0,30.0,0.6,0.4,2880.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,1,0
-33.163647638180095,25.0,0.0,1.0,1.0,50.0,25.0,0.5,0.5,2400.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,2,0
-23.301746428121344,25.0,0.0,1.0,1.0,50.0,28.0,0.56,0.43999999999999995,2688.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,3,0
-15.747531741357045,25.0,0.0,1.0,1.0,50.0,33.0,0.66,0.33999999999999997,3168.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,4,0
-29.160384139654845,25.0,0.0,1.0,1.0,50.0,20.0,0.4,0.6,1920.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,5,0
-15.546754706570272,25.0,0.0,1.0,1.0,50.0,23.0,0.46,0.54,2208.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,6,0
-8.042040940297452,25.0,0.0,1.0,1.0,50.0,30.0,0.6,0.4,2880.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,7,0
-32.715885537526844,25.0,0.0,1.0,1.0,50.0,22.0,0.44,0.56,2112.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,8,0
-22.37531250977053,25.0,0.0,1.0,1.0,50.0,23.0,0.46,0.54,2208.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.5,9,0
-39.99294350310818,25.0,0.0,1.0,1.0,50.0,14.0,0.28,0.72,1344.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,0,0
-31.644883653976315,25.0,0.0,1.0,1.0,50.0,21.0,0.42,0.5800000000000001,2016.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,1,0
-33.163647638180095,25.0,0.0,1.0,1.0,50.0,13.0,0.26,0.74,1248.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,2,0
-23.301746428121344,25.0,0.0,1.0,1.0,50.0,16.0,0.32,0.6799999999999999,1536.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,3,0
-15.747531741357045,25.0,0.0,1.0,1.0,50.0,21.0,0.42,0.5800000000000001,2016.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,4,0
-29.160384139654845,25.0,0.0,1.0,1.0,50.0,13.0,0.26,0.74,1248.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,5,0
-15.546754706570272,25.0,0.0,1.0,1.0,50.0,18.0,0.36,0.64,1728.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,6,0
-8.042040940297452,25.0,0.0,1.0,1.0,50.0,15.0,0.3,0.7,1440.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,7,0
-32.715885537526844,25.0,0.0,1.0,1.0,50.0,14.0,0.28,0.72,1344.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,8,0
-22.37531250977053,25.0,0.0,1.0,1.0,50.0,12.0,0.24,0.76,1152.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,0.7,9,0
-39.99294350310818,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,0,0
-31.644883653976315,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,1,0
-33.163647638180095,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,2,0
-23.301746428121344,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,3,0
-15.747531741357045,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,4,0
-29.160384139654845,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,5,0
-15.546754706570272,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,6,0
-8.042040940297452,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,7,0
-32.715885537526844,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,8,0
-22.37531250977053,25.0,0.0,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,msg_drop,1.0,9,0
-39.99294350310818,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,0,0
-31.644883653976315,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,1,0
-33.163647638180095,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,2,0
-23.301746428121344,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,3,0
-15.747531741357045,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,4,0
-29.160384139654845,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,5,0
-15.546754706570272,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,6,0
-8.042040940297452,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,7,0
-32.715885537526844,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,8,0
-22.37531250977053,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,0.0,9,0
-39.99294350310818,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,0,0
-31.644883653976315,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,1,0
-33.163647638180095,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,2,0
-23.301746428121344,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,3,0
-15.747531741357045,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,4,0
-29.160384139654845,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,5,0
-15.546754706570272,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,6,0
-8.042040940297452,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,7,0
-32.715885537526844,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,8,0
-22.37531250977053,25.0,0.0,1.0,1.0,50.0,50.0,1.0,0.0,4800.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,1.0,9,0
-39.99294350310818,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,0,0
-31.644883653976315,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,1,0
-33.163647638180095,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,2,0
-23.301746428121344,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,3,0
-15.747531741357045,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,4,0
-29.160384139654845,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,5,0
-15.546754706570272,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,6,0
-8.042040940297452,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,7,0
-32.715885537526844,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,8,0
-22.37531250977053,25.0,0.0,1.0,2.0,50.0,48.0,0.96,0.040000000000000036,4608.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,2.0,9,0
-39.99294350310818,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,0,0
-31.644883653976315,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,1,0
-33.163647638180095,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,2,0
-23.301746428121344,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,3,0
-15.747531741357045,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,4,0
-29.160384139654845,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,5,0
-15.546754706570272,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,6,0
-8.042040940297452,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,7,0
-32.715885537526844,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,8,0
-22.37531250977053,25.0,0.0,1.0,4.0,50.0,44.0,0.88,0.12,4224.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,4.0,9,0
-39.99294350310818,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,0,0
-31.644883653976315,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,1,0
-33.163647638180095,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,2,0
-23.301746428121344,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,3,0
-15.747531741357045,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,4,0
-29.160384139654845,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,5,0
-15.546754706570272,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,6,0
-8.042040940297452,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,7,0
-32.715885537526844,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,8,0
-22.37531250977053,25.0,0.0,1.0,8.0,50.0,36.0,0.72,0.28,3456.0,96.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,latency,8.0,9,0
-19.792509520426247,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,0,0
-19.998354432325165,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,1,0
-17.82107076617669,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,2,0
-13.89322967410574,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,3,0
-12.096438422052646,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,4,0
-32.72451102377597,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,5,0
-14.952832856698304,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,6,0
-24.17392669095154,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,7,0
-14.755997218925128,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,8,0
-31.54354960911191,25.0,9.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,150.0,3.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,1.0,9,0
-19.792509520426247,25.0,1.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,300.0,6.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,2.0,0,0
-19.998354432325165,25.0,1.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,300.0,6.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,2.0,1,0
-17.82107076617669,25.0,1.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,300.0,6.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,2.0,2,0
-13.89322967410574,25.0,1.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,300.0,6.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,2.0,3,0
-12.096438422052646,25.0,1.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,300.0,6.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,2.0,4,0
-32.72451102377597,25.0,1.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,300.0,6.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,2.0,5,0
-14.952832856698304,25.0,1.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,300.0,6.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,2.0,6,0
-24.17392669095154,25.0,1.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,300.0,6.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,2.0,7,0
-14.755997218925128,25.0,1.0,0.038461538461538464,1.0,50.0,50.0,1.0,0.0,300.0,6.0,mpe_simple_reference,scripted,2,mpe_simple_reference,mpe_simple_reference,bandwidth,2.0,8,0
