benchmark,n_agents,steps,topology,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode
rendezvous,20,60,ring_plus,-8.729055521872348e-08,8.729055521872348e-08,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,322560.0,64.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7369277497832633,0.9911726877943897,1.0,5.904422590640563e-07,-0.573026933939272,9.0,1.0,1.399646125476325,1.3996461254763248,rendezvous_mean,rendezvous_mean,msg_drop,0.0,0,0
rendezvous,20,60,ring_plus,-1.635035230489412e-08,1.635035230489412e-08,0.0,0.0,0.0,0.0,5400.0,5400.0,1.0,0.0,345600.0,64.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7054246115548497,0.9982798466373644,1.0,1.5764557970644765e-07,-0.8154583725510854,10.0,1.0,1.320493917398932,1.320493917398932,rendezvous_mean,rendezvous_mean,msg_drop,0.0,1,0
rendezvous,20,60,ring_plus,-2.3574640624690693e-09,2.3574640624690693e-09,0.0,0.0,0.0,0.0,6120.0,6120.0,1.0,0.0,391680.0,64.0,0.0,6120.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6909661453782208,0.996428540971781,1.0,2.784671233692251e-08,-0.5373296874429005,9.0,1.0,1.55469612182113,1.5546961218211295,rendezvous_mean,rendezvous_mean,msg_drop,0.0,2,0
rendezvous,20,60,ring_plus,-4.6347902049815954e-08,4.6347902049815954e-08,0.0,0.0,0.0,0.0,5040.0,5040.0,1.0,0.0,322560.0,64.0,0.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.725521024217195,0.9956023943637242,1.0,3.889721302207824e-07,-0.7737303229258814,9.0,1.0,1.2627284000071304,1.2627284000071306,rendezvous_mean,rendezvous_mean,msg_drop,0.0,3,0
rendezvous,20,60,ring_plus,-3.873886556753026e-07,3.873886556753026e-07,0.0,0.0,0.0,0.0,5640.0,5640.0,1.0,0.0,360960.0,64.0,0.0,5640.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7590349099194853,0.994573899015161,1.0,2.371892314845248e-06,-0.519949413819767,9.0,1.0,1.3711704029417888,1.3711704029417888,rendezvous_mean,rendezvous_mean,msg_drop,0.0,4,0
rendezvous,20,60,ring_plus,-3.7285809764069646e-08,3.7285809764069646e-08,0.0,0.0,0.0,0.0,6360.0,6360.0,1.0,0.0,407040.0,64.0,0.0,6360.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.7267725132767462,0.994683885616266,1.0,2.9115576101784343e-07,-0.5547472077852398,9.0,1.0,1.6160985120576443,1.616098512057644,rendezvous_mean,rendezvous_mean,msg_drop,0.0,5,0
rendezvous,20,60,ring_plus,-5.3605219420422855e-06,5.3605219420422855e-06,0.0,0.0,0.0,0.0,4680.0,4680.0,1.0,0.0,299520.0,64.0,0.0,4680.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.787301505943245,0.9943952957084062,1.0,2.4862009759210885e-05,-0.6193760433410624,12.0,1.0,0.9450014459069909,0.9450014459069908,rendezvous_mean,rendezvous_mean,msg_drop,0.0,6,0
rendezvous,20,60,ring_plus,-2.411897139752765e-09,2.411897139752765e-09,0.0,0.0,0.0,0.0,6480.0,6480.0,1.0,0.0,414720.0,64.0,0.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.6892684896016743,0.9963858732328624,1.0,3.056653697468023e-08,-0.6545835531278485,9.0,1.0,2.218617553571293,2.218617553571293,rendezvous_mean,rendezvous_mean,msg_drop,0.0,7,0
rendezvous,20,60,ring_plus,-2.7837646558593074e-05,2.7837646558593074e-05,0.0,0.0,0.0,0.0,4200.0,4200.0,1.0,0.0,268800.0,64.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8183606092780806,0.9807974858228985,1.0,8.629678285906986e-05,-0.5179970480057045,10.0,1.0,0.7964836768628718,0.7964836768628717,rendezvous_mean,rendezvous_mean,msg_drop,0.0,8,0
rendezvous,20,60,ring_plus,-7.627451025656681e-05,7.627451025656681e-05,0.0,0.0,0.0,0.0,5280.0,5280.0,1.0,0.0,337920.0,64.0,0.0,5280.0,0.0,0.0,0.0,0.0,0.0,0.0,mean,0.8252870310960397,0.9922159334246696,1.0,0.00024823565164467444,-0.5802377658431397,14.0,1.0,0.9413291035084279,0.9413291035084281,rendezvous_mean,rendezvous_mean,msg_drop,0.0,9,0
rendezvous,20,60,ring_plus,-1.5464933734531278e-07,1.5464933734531278e-07,0.0,0.10277777777777777,0.0,0.0,5040.0,4522.0,0.8972222222222223,0.10277777777777775,289408.0,64.0,0.0,4522.0,0.0,0.0,518.0,0.0,0.0,0.0,mean,0.7439133610701845,0.9923204718386947,1.0,9.931917647780945e-07,-0.5730269328166256,9.0,1.0,1.399646125476325,1.3458235410014037,rendezvous_mean,rendezvous_mean,msg_drop,0.1,0,0
rendezvous,20,60,ring_plus,-3.0477945447247963e-08,3.0477945447247963e-08,0.0,0.1037037037037037,0.0,0.0,5400.0,4840.0,0.8962962962962963,0.10370370370370374,309760.0,64.0,0.0,4840.0,0.0,0.0,560.0,0.0,0.0,0.0,mean,0.71201457780363,0.9978277387128813,1.0,2.416233937011948e-07,-0.8154583723156253,10.0,1.0,1.320493917398932,1.2572950674741608,rendezvous_mean,rendezvous_mean,msg_drop,0.1,1,0
