return,steps,comm_mse,comm_zero_frac,comm_age_mean,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,benchmark,algo,n_agents,task,task_name,family,value,seed,episode
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,0,0
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,1,0
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,2,0
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,3,0
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,4,0
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,5,0
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,6,0
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,7,0
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,8,0
-2823.8439903259277,24.0,0.0,0.16,1.0,48.0,48.0,1.0,0.0,12288.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.0,9,0
-2823.8439903259277,24.0,0.0,0.265,1.0,48.0,42.0,0.875,0.125,10752.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.1,0,0
-2823.8439903259277,24.0,0.0,0.23,1.0,48.0,44.0,0.9166666666666666,0.08333333333333337,11264.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.1,1,0
-2823.8439903259277,24.0,0.0,0.265,1.0,48.0,42.0,0.875,0.125,10752.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.1,2,0
-2823.8439903259277,24.0,0.0,0.195,1.0,48.0,46.0,0.9583333333333334,0.04166666666666663,11776.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.1,3,0
-2823.8439903259277,24.0,0.0,0.195,1.0,48.0,46.0,0.9583333333333334,0.04166666666666663,11776.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.1,4,0
-2823.8439903259277,24.0,0.0,0.3,1.0,48.0,40.0,0.8333333333333334,0.16666666666666663,10240.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.1,5,0
-2823.8439903259277,24.0,0.0,0.2825,1.0,48.0,41.0,0.8541666666666666,0.14583333333333337,10496.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.1,6,0
-2823.8439903259277,24.0,0.0,0.265,1.0,48.0,42.0,0.875,0.125,10752.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.1,7,0
-2823.8439903259277,24.0,0.0,0.265,1.0,48.0,42.0,0.875,0.125,10752.0,256.0,wntr,random,2,wntr_random,wntr_random,msg_drop,0.1,8,0
