policy,family,value,metric_p50,metric_p25,metric_p75
mean,msg_drop,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,msg_drop,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,msg_drop,0.0,1.886493895528178e-05,7.186986381543744e-07,8.496257563792383e-05
maddpg,msg_drop,0.0,8.923206869680213e-05,9.01415115580501e-06,0.0003175833331205542
mappo,msg_drop,0.0,1.9956350499956597e-05,9.301747192759237e-07,0.00023476145329248563
mean,msg_drop,0.1,1.157666238502651e-06,2.5997517455297005e-07,3.3840982317141635e-06
median,msg_drop,0.1,4.4147044856778186e-05,3.8747030638756756e-08,0.0011402115283022716
ippo,msg_drop,0.1,1.9161239829724997e-05,1.0999669741796687e-06,7.126635906214757e-05
maddpg,msg_drop,0.1,5.109423502755909e-05,6.916203029336845e-06,0.00028047223548208406
mappo,msg_drop,0.1,1.903390475081154e-05,1.2253086498481441e-06,0.0001500557152504773
mean,msg_drop,0.3,7.089696030079577e-07,3.3403385444357346e-07,2.3726887815123444e-06
median,msg_drop,0.3,1.5432290343129496e-06,1.0915354617622824e-07,3.015862354824119e-05
ippo,msg_drop,0.3,7.711579403928686e-06,1.690291829316568e-06,2.528089967901571e-05
maddpg,msg_drop,0.3,3.194071578725292e-05,6.944536949740453e-06,7.764311325448914e-05
mappo,msg_drop,0.3,7.76378708001541e-06,1.993228380826909e-06,5.130006086558243e-05
mean,msg_drop,0.5,3.3377320295393053e-06,9.777078952479417e-07,7.763397508271493e-06
median,msg_drop,0.5,3.25691053241359e-06,9.235740843591482e-07,1.5029411676608045e-05
ippo,msg_drop,0.5,1.640961173615197e-05,4.911307454092477e-06,8.279292015130342e-05
maddpg,msg_drop,0.5,3.089404287500039e-05,1.268622892956817e-05,9.733367752857828e-05
mappo,msg_drop,0.5,2.541354499046702e-05,6.6087697840567536e-06,8.67178849982604e-05
mean,msg_drop,0.7,0.00014509534542971427,2.3256566611934105e-05,0.00024116651077939953
median,msg_drop,0.7,0.00020121770529994497,1.9916050915394673e-05,0.00027363816473345516
ippo,msg_drop,0.7,0.00035012668004300436,5.604982598361717e-05,0.0010683340515013021
maddpg,msg_drop,0.7,0.00019943115663481056,6.453015521845255e-05,0.0005316156633512626
mappo,msg_drop,0.7,0.0004779006724052689,5.7491181443120113e-05,0.0010919031909672186
mean,msg_drop,1.0,1.0,1.0,1.0
median,msg_drop,1.0,1.0,1.0,1.0
ippo,msg_drop,1.0,1.0,1.0,1.0
maddpg,msg_drop,1.0,1.0,1.0,1.0
mappo,msg_drop,1.0,1.0,1.0,1.0
mean,latency,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,latency,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,latency,0.0,1.886493895528178e-05,7.186986381543744e-07,8.496257563792383e-05
maddpg,latency,0.0,8.923206869680213e-05,9.01415115580501e-06,0.0003175833331205542
mappo,latency,0.0,1.9956350499956597e-05,9.301747192759237e-07,0.00023476145329248563
mean,latency,1.0,1.2938598010978414e-05,3.9661004797397755e-06,2.189579135177482e-05
median,latency,1.0,0.0006854444653692152,4.037266198609465e-07,0.0033337796366465634
ippo,latency,1.0,7.973688132481996e-05,5.019556592319139e-06,0.0003515979193934061
maddpg,latency,1.0,0.00015983857896298718,2.7276803549356416e-05,0.001239087771916385
