policy,family,value,metric_p50,metric_p25,metric_p75
mean,msg_drop,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,msg_drop,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,msg_drop,0.0,4.341573577872468e-06,2.2984739697716705e-07,8.23944338346175e-05
maddpg,msg_drop,0.0,0.00011963059241605034,1.0310171035301701e-05,0.0005041204957038965
mappo,msg_drop,0.0,1.4198995853086513e-05,3.9962082142636657e-07,9.728343747997728e-05
mean,msg_drop,0.1,1.157666238502651e-06,2.5997517455297005e-07,3.3840982317141635e-06
median,msg_drop,0.1,4.4147044856778186e-05,3.8747030638756756e-08,0.0011402115283022716
ippo,msg_drop,0.1,3.3894132199204503e-06,2.9479101296209515e-07,6.640544313270388e-05
maddpg,msg_drop,0.1,5.7886697307868186e-05,6.744642302867391e-06,0.0005999020699697273
mappo,msg_drop,0.1,1.0036941310464685e-05,5.267471604018681e-07,8.32494333091166e-05
mean,msg_drop,0.3,7.089696030079577e-07,3.3403385444357346e-07,2.3726887815123444e-06
median,msg_drop,0.3,1.5432290343129496e-06,1.0915354617622824e-07,3.015862354824119e-05
ippo,msg_drop,0.3,1.8272327188463582e-06,4.2879931360829123e-07,1.91292848590166e-05
maddpg,msg_drop,0.3,4.381396767793445e-05,2.1124223179764344e-06,0.00021821549074377874
mappo,msg_drop,0.3,5.84877429386612e-06,5.771665404911103e-07,3.3395972106646605e-05
mean,msg_drop,0.5,3.3377320295393053e-06,9.777078952479417e-07,7.763397508271493e-06
median,msg_drop,0.5,3.25691053241359e-06,9.235740843591482e-07,1.5029411676608045e-05
ippo,msg_drop,0.5,8.98731631562547e-06,1.3125238314392961e-06,2.3054986164220312e-05
maddpg,msg_drop,0.5,6.0538318308844e-05,2.0652229327917275e-06,0.0002731475582991903
mappo,msg_drop,0.5,1.1300384467930566e-05,2.5644733289223973e-06,5.6202786096494534e-05
mean,msg_drop,0.7,0.00014509534542971427,2.3256566611934105e-05,0.00024116651077939953
median,msg_drop,0.7,0.00020121770529994497,1.9916050915394673e-05,0.00027363816473345516
ippo,msg_drop,0.7,0.00019894891384335782,1.6941972623378717e-05,0.00041679434027930555
maddpg,msg_drop,0.7,0.0002704207438690361,4.748596245298621e-05,0.001216688378593787
mappo,msg_drop,0.7,0.00024412503996742936,2.831296946791944e-05,0.0006827631434270246
mean,msg_drop,1.0,1.0,1.0,1.0
median,msg_drop,1.0,1.0,1.0,1.0
ippo,msg_drop,1.0,1.0,1.0,1.0
maddpg,msg_drop,1.0,1.0,1.0,1.0
mappo,msg_drop,1.0,1.0,1.0,1.0
mean,latency,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,latency,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,latency,0.0,4.341573577872468e-06,2.2984739697716705e-07,8.23944338346175e-05
maddpg,latency,0.0,0.00011963059241605034,1.0310171035301701e-05,0.0005041204957038965
mappo,latency,0.0,1.4198995853086513e-05,3.9962082142636657e-07,9.728343747997728e-05
mean,latency,1.0,1.2938598010978414e-05,3.9661004797397755e-06,2.189579135177482e-05
median,latency,1.0,0.0006854444653692152,4.037266198609465e-07,0.0033337796366465634
ippo,latency,1.0,2.4568377948716607e-05,2.894637144678184e-06,0.0004080964685319791
maddpg,latency,1.0,0.0002200427933209044,4.7964015356958635e-05,0.0008702792482427205
