policy,family,value,metric_p50,metric_p25,metric_p75
mean,msg_drop,0.0,3.211580940949543e-05,2.178768201659893e-05,8.941568110463813e-05
median,msg_drop,0.0,0.017521414751819175,0.003464201937702892,0.034723517054233134
ippo,msg_drop,0.0,0.0023840971187983626,0.00012640470436182038,0.010063192309028609
maddpg,msg_drop,0.0,0.011344107712493584,0.0020108836550956537,0.025455153790523988
mappo,msg_drop,0.0,0.0036898952270760918,0.00023457484816791826,0.012086789380245738
mean,msg_drop,0.1,0.0006375473967996124,0.00013165560994001538,0.0036907934998354317
median,msg_drop,0.1,0.009851292507637315,0.0024469386358578534,0.032557257252177604
ippo,msg_drop,0.1,0.0015351957980899522,0.0005398136420969456,0.006884277718339567
maddpg,msg_drop,0.1,0.008247711537344098,0.002512235384448341,0.016019217085350174
mappo,msg_drop,0.1,0.0012974116808770176,5.435334684534771e-05,0.005265922347064384
mean,msg_drop,0.3,0.0007424693433618135,0.00039965423551596463,0.0026704037365237994
median,msg_drop,0.3,0.0024851878628831888,1.7474505501156615e-05,0.014067365586170482
ippo,msg_drop,0.3,0.0012701746792097384,0.00035297677469121115,0.002643659466472192
maddpg,msg_drop,0.3,0.007209651409369637,0.0018652836019458726,0.023346982243502692
mappo,msg_drop,0.3,0.0024931342343413503,0.0009478564743820696,0.0038207288689779384
mean,msg_drop,0.5,0.010712994193091132,0.0020309987596407652,0.02501287495265631
median,msg_drop,0.5,0.011509898587475472,0.007589261178834844,0.021858766627228046
ippo,msg_drop,0.5,0.008928382664210487,0.0018474546423422095,0.019879367689309944
maddpg,msg_drop,0.5,0.018196915830354973,0.007440982364106591,0.05266041248896077
mappo,msg_drop,0.5,0.005444533088874285,0.0022374249882644243,0.021023550960432038
mean,msg_drop,0.7,0.004691385511495553,0.003429054233352463,0.04305625797934628
median,msg_drop,0.7,0.0036584756864416024,0.0009781522858986625,0.04140332914694758
ippo,msg_drop,0.7,0.008027353728202347,0.0008104020037441872,0.0413742917292809
maddpg,msg_drop,0.7,0.019246047949087214,0.005537218656008499,0.06373789328276887
mappo,msg_drop,0.7,0.014689381338079288,0.0013190674437183398,0.032038196791780535
mean,msg_drop,1.0,1.0,1.0,1.0
median,msg_drop,1.0,1.0,1.0,1.0
