n,seed,conflict_frac,cond
12,0,0.0,clean
12,1,0.0,clean
12,2,0.0,clean
12,3,0.0,clean
12,4,0.0,clean
12,5,0.0,clean
12,6,0.0,clean
12,7,0.0,clean
12,8,0.0,clean
12,9,0.0,clean
24,0,0.0,clean
24,1,0.0,clean
24,2,0.0,clean
24,3,0.0,clean
24,4,0.0,clean
24,5,0.0,clean
24,6,0.0,clean
24,7,0.0,clean
24,8,0.0,clean
24,9,0.0,clean
48,0,0.008264462809917356,clean
48,1,0.00684931506849315,clean
48,2,0.007142857142857143,clean
48,3,0.006944444444444444,clean
48,4,0.0,clean
48,5,0.021739130434782608,clean
48,6,0.014492753623188406,clean
48,7,0.02142857142857143,clean
48,8,0.014705882352941176,clean
48,9,0.02142857142857143,clean
96,0,0.02564102564102564,clean
96,1,0.04602510460251046,clean
96,2,0.032397408207343416,clean
96,3,0.038636363636363635,clean
96,4,0.04697986577181208,clean
96,5,0.03282275711159737,clean
96,6,0.0400890868596882,clean
96,7,0.03619909502262444,clean
96,8,0.0367816091954023,clean
96,9,0.039647577092511016,clean
12,0,0.25,drop0.3
12,1,0.23809523809523808,drop0.3
12,2,0.1111111111111111,drop0.3
12,3,0.05555555555555555,drop0.3
12,4,0.06666666666666667,drop0.3
12,5,0.06666666666666667,drop0.3
12,6,0.0,drop0.3
12,7,0.045454545454545456,drop0.3
12,8,0.0,drop0.3
12,9,0.058823529411764705,drop0.3
24,0,0.05555555555555555,drop0.3
24,1,0.058823529411764705,drop0.3
24,2,0.06521739130434782,drop0.3
24,3,0.07317073170731707,drop0.3
24,4,0.08888888888888889,drop0.3
24,5,0.1956521739130435,drop0.3
24,6,0.05555555555555555,drop0.3
24,7,0.15217391304347827,drop0.3
24,8,0.024390243902439025,drop0.3
24,9,0.02,drop0.3
48,0,0.049586776859504134,drop0.3
48,1,0.10273972602739725,drop0.3
48,2,0.06428571428571428,drop0.3
48,3,0.19444444444444445,drop0.3
48,4,0.06870229007633588,drop0.3
48,5,0.12318840579710146,drop0.3
48,6,0.06521739130434782,drop0.3
48,7,0.07142857142857142,drop0.3
48,8,0.09558823529411764,drop0.3
48,9,0.12142857142857143,drop0.3
96,0,0.07925407925407925,drop0.3
96,1,0.07112970711297072,drop0.3
96,2,0.12958963282937366,drop0.3
96,3,0.10909090909090909,drop0.3
96,4,0.1297539149888143,drop0.3
96,5,0.11159737417943107,drop0.3
96,6,0.10467706013363029,drop0.3
96,7,0.08823529411764706,drop0.3
96,8,0.10804597701149425,drop0.3
96,9,0.1277533039647577,drop0.3
