strategy,bits,consensus_error
mean,1.0,2.755565575122475
mean,1.0,2.672314648707003
mean,1.0,6.719893863023534
mean,1.0,2.1130454924053046
mean,1.0,8.083010652965891
mean,1.0,5.69802111376455
mean,1.0,8.44176408713425
mean,1.0,7.186857467009221
mean,1.0,7.869445114782185
mean,1.0,7.327003718423654
mean,2.0,0.5659964437489643
mean,2.0,0.8445138060380769
mean,2.0,0.3507906323735748
mean,2.0,0.2769611245314965
mean,2.0,0.7107562410050245
mean,2.0,0.14980987709940735
mean,2.0,0.8198784658875804
mean,2.0,0.4635315150519023
mean,2.0,0.6484326011924788
mean,2.0,0.49962825183117887
mean,3.0,0.03272436862071252
mean,3.0,0.12078804933060142
mean,3.0,0.00043460726194582256
mean,3.0,0.053077473470458804
mean,3.0,0.07378559115490135
mean,3.0,0.03399442169167915
mean,3.0,0.11158461469879699
mean,3.0,0.011968998157309979
mean,3.0,0.054673923589594976
mean,3.0,0.018337302187817463
mean,4.0,0.0022726814164891924
mean,4.0,0.012545845497666422
mean,4.0,0.0369699860632839
mean,4.0,0.01280655272965613
mean,4.0,0.0018544740294491584
mean,4.0,0.00016762974884019762
mean,4.0,0.011124217324128228
mean,4.0,0.014201134243906533
mean,4.0,0.03529819080148694
mean,4.0,0.02511431238144121
mean,8.0,0.0013998295361686494
mean,8.0,0.0006178535935144341
mean,8.0,0.001201484862081309
mean,8.0,0.01736596878829752
mean,8.0,3.053546194349778e-05
mean,8.0,0.003322491173968568
mean,8.0,0.0001482464679232604
mean,8.0,0.0006275458030044474
mean,8.0,0.010289127061224404
mean,8.0,0.0001914813489718706
mean,32.0,0.0016408928661126108
mean,32.0,0.0004845344668620956
mean,32.0,0.001244076452973517
mean,32.0,0.019471394709923987
mean,32.0,3.289845831358144e-05
mean,32.0,0.0037162859002192066
mean,32.0,5.4443811557676666e-05
mean,32.0,0.00026357160358919055
mean,32.0,0.010348279756478822
mean,32.0,7.788988655482425e-06
median,1.0,7.575305849415284
median,1.0,7.595488409193484
median,1.0,6.719893863304504
median,1.0,5.60885458379017
median,1.0,8.083010658796718
median,1.0,5.698021113800133
median,1.0,8.44176408714305
median,1.0,7.186857467047496
median,1.0,7.869445116179665
median,1.0,7.327003718506499
median,2.0,0.5659964437070998
median,2.0,0.6743531205759701
median,2.0,0.3507906324264881
median,2.0,0.7288414706804134
median,2.0,0.7107562411351971
median,2.0,0.14980987710168883
median,2.0,0.8198784659067746
median,2.0,0.4635315150677936
median,2.0,0.6484326014600456
median,2.0,0.4996282518627235
median,3.0,0.032724368622604846
median,3.0,0.12078804937708283
median,3.0,0.0004346072619450891
median,3.0,0.17041640475213415
median,3.0,0.07378559116174893
median,3.0,0.16342632965110732
median,3.0,0.11158461487425005
median,3.0,0.011968998158091087
median,3.0,0.05467392363967651
