strategy,n_agents,cond,seed,final_disagreement,lyap_rho,msgs_sent
mean,10,clean,0,0.0002479121730937152,0.8608910433447053,1200
mean,10,clean,1,0.0009080749986150341,0.8655354880426896,1200
mean,10,clean,2,0.00018316022708250468,0.8613656511779597,1200
mean,10,clean,3,0.00019416128934670115,0.8652156125516957,1200
mean,10,clean,4,1.3551685805960623e-05,0.852099636824902,1200
mean,10,clean,5,0.0003774030675883802,0.869018982823692,1200
mean,10,clean,6,7.133120086676444e-05,0.8623709472980738,1200
mean,10,clean,7,0.00011477766595240661,0.8638170623743915,1200
mean,10,clean,8,0.0007531357681952115,0.8688415441950524,1200
mean,10,clean,9,0.0003054254996276531,0.8641608795489686,1200
mean,20,clean,0,0.26433321759022105,0.9464084067075081,2400
mean,20,clean,1,0.09993077259261074,0.9385175015557379,2400
mean,20,clean,2,0.3553330859704643,0.9548155754848044,2400
mean,20,clean,3,0.1433851637241629,0.9528039653299993,2400
mean,20,clean,4,0.02535280207185681,0.9229370583890576,2400
mean,20,clean,5,0.2352316811045261,0.9598921575993246,2400
mean,20,clean,6,0.19863171518873216,0.942336232959688,2400
mean,20,clean,7,0.1583218317606975,0.9550697066558992,2400
mean,20,clean,8,0.07986995371838644,0.940029664880743,2400
mean,20,clean,9,0.16622808598228578,0.950836302035757,2400
mean,40,clean,0,2.656142268599302,0.9725934189723172,4800
mean,40,clean,1,0.8946889954699483,0.9575915277010052,4800
mean,40,clean,2,1.424629193847783,0.9703463927653713,4800
mean,40,clean,3,0.8267843836276101,0.960004090245436,4800
mean,40,clean,4,0.9706789414840513,0.9670785368530601,4800
mean,40,clean,5,0.3640864869388913,0.9530738653263909,4800
mean,40,clean,6,0.838170449093745,0.9575639333926612,4800
mean,40,clean,7,1.7243694157303193,0.9737872521651846,4800
mean,40,clean,8,0.13420774584656797,0.9362514575813325,4800
mean,40,clean,9,0.798817665706353,0.9682876164064397,4800
mean,80,clean,0,4.740941513159474,0.9720751967905241,9600
mean,80,clean,1,4.755828453405002,0.9718473945859739,9600
mean,80,clean,2,4.187788931383523,0.9718097314009725,9600
mean,80,clean,3,4.902682652833921,0.9767482966539344,9600
